"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,415.85,0,0,0.29,0.29,2.31,3.17,6.64,0.06,0,0,1.86,4.04,2.31,2.6,5.92,5.63,2.16,0.58,0,0,-1.59,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.38,0.33,0.11,0.45,0.89,3.01,4.8,6.36,0.13,11.11,6.98,2.79,3.91,1,0.89,4.58,4.35,1.56,0.56,0.11,0.22,-0.89,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY/EDM","D","L",1983-04-30,26,2001,3,85,41,641.63,0.37,0.28,0.28,0.94,3.37,5.52,7.95,0.18,11.11,6.78,3.2,3.83,2.34,1.5,6.55,4.86,1.4,0.65,0.09,0.09,-0.75,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,0.19,0.39,0.45,1.04,4.09,5.78,7.66,0.2,4.76,3.37,3.46,4.67,1.36,1.1,6.43,6.04,0.52,0.65,0,0,0.13,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,0,0,0,0,3.23,4.44,9.28,0.08,0,0,1.91,2.02,2.82,0,7.26,8.47,2.02,0.4,0,0,-1.61,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.17,0,0,0,0,2.46,4.1,6.56,0.08,0,0,2,6.56,0,0.82,4.92,6.56,0,0.82,0,0,0.82,0,0,0
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,988.18,0.06,0.06,0.43,0.55,1.64,2.73,4.13,0.07,3.7,2.22,2.4,4.86,1.76,0.91,2.25,4.49,0.67,0.18,0,0.06,-0.43,0,0,0
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.43,0,0,0,0,2.36,5.12,7.09,0.21,0,0,4.15,6.69,1.18,0.79,0.79,5.51,0.39,0,0,0,-0.39,0,0,0
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.88,0.2,0,0.41,0.61,4.66,6.49,9.94,0.28,4.35,3.12,4.38,5.27,1.42,0.61,2.84,6.29,1.01,0.41,0,0,-0.61,0,0,0
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,0,0,1.21,1.21,4.84,7.87,10.9,0.22,0,0,2.77,4.24,1.21,0,2.42,5.45,0.61,0.61,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,0,0,0,0,0,2.34,2.34,0.07,0,0,3,4.67,2.34,0,4.67,4.67,0,0,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.82,0,0,0.59,0.59,1.18,1.18,1.77,0.01,0,0,1,4.71,1.18,0.59,0.59,8.25,2.36,0.59,0,0,-1.77,0,0,0
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.83,0,0.2,0,0.2,2.19,3.79,5.39,0.06,0,0,1.53,3.99,1.6,0.2,3.39,9.77,0,1,0,0,1,0,0,0
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,0,0,0,0,4.68,9.35,9.35,0.42,0,0,4.5,0,0,0,9.35,0,0,0,0,0,0,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,25.55,0,0,0,0,7.05,9.39,14.09,0.66,0,0,7,2.35,4.7,0,7.05,9.39,2.35,2.35,0,0,0,0,2.35,-2.35
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.52,0.21,0.21,0.63,1.04,7.72,10.64,14.61,0.52,2.7,1.96,4.86,2.3,1.04,1.88,5.84,10.43,0.83,2.3,0,0,1.46,0,0.83,-0.83
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.88,0.42,0.64,0.85,1.91,6.15,7.85,10.39,0.4,6.9,5.41,5.14,2.76,1.06,1.7,6.79,7,0.85,1.91,0,0,1.06,0.42,1.27,-0.85
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,18.65,0,0,0,0,6.43,12.87,12.87,0.58,0,0,4.5,0,3.22,0,9.65,6.43,0,0,0,0,0,0,3.22,-3.22
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,309.03,0.19,0,0.19,0.39,2.91,4.66,6.41,0.1,6.67,4.17,2.08,3.3,0.78,0.39,6.41,4.27,0.78,0.39,0.58,0.58,-0.39,0,0,0
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.73,0,0.48,0,0.48,3.39,5.33,7.76,0.09,0,0,1.64,3.88,0.97,0.97,5.82,5.82,0,0,0,0,0,0,0,0
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.77,0,0.08,0.24,0.32,3.95,5.65,9.52,0.16,0,0,2.87,3.95,1.29,0.48,4.68,6.29,0.56,0.24,0.16,0.08,-0.4,0,0,0
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975.03,0.06,0.18,0.06,0.31,3.08,4.55,6.71,0.17,2,1.35,3.65,3.63,1.29,0.8,4.8,6.46,1.17,0.31,0.06,0.06,-0.86,0,0,0
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.73,0.37,0.27,0.27,0.92,3.85,6.41,9.62,0.16,9.52,5.71,2.54,5.68,1.19,0.37,5.87,7.33,1.19,0.55,0.18,0.09,-0.73,0,0,0
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414.02,0,0.43,0.29,0.72,2.17,3.04,5.8,0.07,0,0,2.29,4.64,1.3,0.29,6.23,6.67,1.3,0.58,0,0,-0.72,0,0,0
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,0,0.18,0,0.18,2.75,4.03,6.6,0.09,0,0,2.32,6.97,2.2,0.37,3.67,7.52,0.55,0.18,0.18,0.18,-0.37,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.47,0.59,0.59,0,1.17,3.51,4.68,7.03,0.32,16.67,12.5,6.88,1.76,0,0,21.08,10.54,1.76,0.59,1.17,1.17,-1.17,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.28,0.29,0,0,0.29,4.94,6.69,10.18,0.39,5.88,4.35,5.87,2.33,1.16,0.29,17.74,11.05,1.75,0.87,1.45,1.45,-0.87,1.16,0,1.16
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN/WSH","L","L",1985-05-30,27,2003,NA,NA,33,275.13,0.22,0.22,0,0.44,4.58,6.98,9.16,0.42,4.76,3.12,5.97,2.18,1.09,0.87,17.45,12.65,1.09,0.65,1.09,1.09,-0.44,0.22,0.65,-0.44
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.87,0.4,0,0,0.4,3.58,5.37,7.75,0.4,11.11,7.41,7.48,1.99,0.2,1.19,15.3,10.93,1.39,0.4,0.99,0.99,-0.99,0.8,1.59,-0.8
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,0,0,0,0,3.12,9.36,9.36,0.22,0,0,2.33,3.12,3.12,0,9.36,6.24,0,3.12,0,0,3.12,0,0,0
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,504.6,0.83,0.71,0.12,1.66,6.18,8.44,10.46,0.76,13.46,9.86,9,0.59,1.19,0.95,11.41,7.97,2.73,2.02,1.78,1.66,-0.83,0.36,1.43,-1.07
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.58,0.8,0.6,0.2,1.59,6.56,9.34,10.74,0.83,12.12,8.51,8.93,0.8,1.09,0.6,11.23,8.25,2.58,2.19,0.99,0.89,-0.5,0.4,0.6,-0.2
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.83,0.71,0.95,0,1.67,5.24,6.67,8.82,0.42,13.64,10.71,6.36,2.62,0,0.48,13.34,10.72,2.86,1.43,3.1,3.1,-1.43,0.71,0.71,0
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.55,0,0,0,0,7.21,8.11,9.02,0.52,0,0,6.44,0.9,0,0.9,10.82,14.43,3.61,3.61,4.51,4.51,0,1.8,0.9,0.9
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1325.75,0.23,0.09,0.27,0.59,3.08,4.66,6.43,0.11,7.35,4.85,2.26,5.3,0.81,0.23,6.38,3.67,1.22,0.5,0,0,-0.72,0,0,0
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,0.15,0.1,0.2,0.44,2.57,4.05,6.07,0.1,5.77,3.66,2.39,5.93,1.09,0.25,7.31,4.3,1.04,0.25,0,0.05,-0.74,0,0,0
"Aaron Ward","AARON.WARD","8458519","09-10","ANA/CAR","D","R",1973-01-17,36,1991,1,5,76,1308.02,0.05,0.05,0.5,0.6,1.79,2.75,5.14,0.07,2.56,1.67,2.37,6.56,1.06,0.55,7.89,4.63,1.33,0.5,0,0,-0.83,0,0,0
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,34.43,1.74,0,0,1.74,3.49,3.49,5.23,0.38,50,50,11,0,0,0,1.74,3.49,0,0,0,0,0,0,0,0
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,31.23,0,0,1.92,1.92,7.68,7.68,11.53,0.1,0,0,1.25,1.92,3.84,1.92,1.92,5.76,1.92,0,0,0,-1.92,0,0,0
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,20.23,0,0,0,0,2.97,5.93,5.93,0.24,0,0,4,2.97,0,0,2.97,2.97,0,0,0,0,0,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.12,0.36,0.45,0.36,1.17,4.51,6.22,9.65,0.24,8,5.8,3.86,3.88,2.35,0.9,2.98,5.5,0.27,0.9,0,0,0.63,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.65,0.2,0.2,1.21,1.61,3.94,5.25,8.37,0.29,5.13,3.85,5.46,2.93,2.12,0.71,2.93,4.74,0.81,1.11,0,0,0.3,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,40,685.1,0.88,0.26,0.53,1.66,4.38,6.22,9.2,0.33,20,14.08,5.24,3.07,2.01,0.79,1.66,3.33,0.44,0.53,0,0,0.09,0,0,0
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,54.97,0,2.18,1.09,3.27,2.18,4.37,5.46,0.4,0,0,9.25,1.09,1.09,2.18,0,6.55,0,1.09,0,0,1.09,5.46,5.46,0
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.45,2.04,0,0.51,2.55,5.11,5.11,7.15,0.62,40,40,12.1,1.02,2.04,2.04,7.15,10.22,0,0.51,0,0,0.51,3.58,5.11,-1.53
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL/VGK/WPG","C","L",1996-05-06,25,2016,4,92,15,158.34,0.76,0.38,0,1.14,2.65,4.17,5.31,0.48,28.57,18.18,11.45,1.14,0.76,0.76,3.03,7.2,0.38,0.38,0,0,0,8.34,12.5,-4.17
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,938.38,0.26,0.19,0.06,0.51,4.35,5.05,5.75,0.38,5.88,5.06,7.43,4.16,0.45,0.7,5.69,5.69,1.92,2.11,1.02,1.02,0.19,7.1,9.78,-2.69
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.65,0.59,0.2,0.1,0.89,8.21,9.49,10.38,0.75,7.23,6.25,7.89,3.66,0.1,1.09,4.65,7.71,1.88,1.88,0.49,0.49,0,4.85,7.42,-2.57
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.07,0.53,1.05,0.53,2.1,4.73,8.42,9.99,0.45,11.11,6.25,5.31,4.73,1.05,1.05,4.73,6.31,1.05,2.1,1.05,1.05,1.05,3.68,7.36,-3.68
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904.03,0.53,0.2,0.2,0.93,5.91,8.03,9.42,0.55,8.99,6.61,6.85,4.65,0.86,0.93,5.11,7.04,1.19,1.19,0.2,0.13,-0.07,16.92,14.73,2.19
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.22,0.43,0.51,0.43,1.37,5.92,8.16,10.11,0.52,7.32,5.31,6.33,2.6,0.94,1.23,4.98,5.7,1.3,1.15,0,0,-0.14,15.66,12.42,3.25
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,0.12,0.12,0.12,0.37,4.81,7.03,9.13,0.45,2.56,1.75,6.4,4.07,1.23,0.49,8.02,5.92,1.23,2.22,0.12,0.12,0.99,15.06,13.08,1.97
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,0,0,0,0,3.74,6.65,7.48,0.44,0,0,6.56,3.74,0.42,0.83,9.56,7.07,1.25,0.42,0,0,-0.83,16.22,14.97,1.25
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,0.27,0.54,0,0.81,5.92,8.34,10.23,0.35,4.55,3.23,4.23,5.11,0.54,1.08,2.96,6.73,2.42,1.88,0.27,0.27,-0.54,15.34,13.46,1.88
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI/VAN","D","R",1992-10-26,21,2011,2,36,21,349.38,0.17,0.17,0.34,0.69,2.92,5.15,8.41,0.13,5.88,3.33,2.6,3.78,2.4,0.34,1.55,6.35,0.86,0.17,0,0,-0.69,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM/PIT","D","R",1992-10-26,22,2011,2,36,29,429.08,0.14,0.14,0.7,0.98,6.01,8.39,11.61,0.24,2.33,1.67,2.85,4.75,2.66,0.7,2.66,7.97,1.4,0.56,0,0,-0.84,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,0.24,0.24,0.86,1.35,4.65,6.98,10.77,0.14,5.26,3.51,2.04,3.31,2.45,0.86,2.69,8.08,0.73,0.49,0.12,0.12,-0.24,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.67,0,0,1.51,1.51,3.01,6.02,8.28,0.08,0,0,1.38,4.52,3.01,1.51,1.51,3.77,0.75,0,0,0,-0.75,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,42.62,0,0,0,0,4.22,4.22,11.26,0.1,0,0,2.33,4.22,0,2.82,1.41,12.67,0,0,0,0,0,0,0,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.17,0.84,0.84,0.28,1.96,7.28,10.65,13.17,0.59,11.54,7.89,5.58,1.96,0.28,2.24,8.12,5.6,1.12,0.56,0,0,-0.56,12.89,20.17,-7.28
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,15.28,3.93,0,0,3.93,3.93,7.85,7.85,0.39,100,50,5,11.78,0,3.93,3.93,7.85,0,0,0,0,0,0,3.93,-3.93
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.28,0.7,0.7,0.7,2.09,7.31,10.1,13.58,0.55,9.52,6.9,5.41,2.44,0.35,2.09,7.66,10.1,0.7,0.7,0,0,0,2.09,6.62,-4.53
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.45,0,0.39,0.39,0.77,6.18,8.88,10.81,0.45,0,0,5.04,3.09,0,1.16,12.74,10.04,0,1.16,0,0,1.16,3.86,6.56,-2.7
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,0,0.35,0,0.35,6.03,9.23,10.29,0.39,0,0,4.19,2.13,1.06,1.77,15.26,7.45,0.35,0.35,0,0,0,7.1,13.48,-6.39
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM/VAN","R","R",1985-07-15,30,2004,9,279,52,636.02,0.47,0.38,0.09,0.94,6.41,8.68,11.32,0.53,7.35,5.43,6.1,2.36,1.32,2.17,11.7,5.75,0.94,1.23,0,0,0.28,14.72,22.55,-7.83
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.75,0.83,0.25,0.25,1.33,7.23,10.56,14.13,0.65,11.49,7.87,6.17,3.08,1.33,1.58,7.56,4.32,0.5,1.33,0,0,0.83,11.22,13.3,-2.08
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL/NYR","R","R",1985-07-15,32,2004,9,279,5,38.55,0,0,0,0,9.34,9.34,12.45,0.37,0,0,4,1.56,3.11,4.67,18.68,4.67,0,0,0,0,0,4.67,4.67,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.87,0,0,0,0,8.62,8.62,11.5,0.57,0,0,6.67,0,2.87,0,17.25,5.75,0,0,0,0,0,0,0,0
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,306.98,0.59,0,0,0.59,7.82,11.34,12.7,0.64,7.5,5.17,5.66,2.54,0.98,0.39,13.88,4.5,0.59,0.98,0.2,0.2,0.39,0,0.39,-0.39
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.73,0.77,0,0.26,1.03,7.48,10.83,12.63,0.65,10.34,7.14,6.05,2.06,1.03,1.03,9.54,5.41,0.77,0.77,0.26,0.26,0,1.29,0.77,0.52
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.63,0.61,0.53,0.61,1.75,6.13,9.01,11.81,0.56,10,6.8,6.22,2.28,0.7,1.4,13.91,4.81,0.88,0.88,0.18,0.18,0,0.96,1.05,-0.09
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.68,0.18,0.27,0,0.45,5.71,7.34,9.61,0.51,3.17,2.47,6.9,2.27,2.45,0.45,12.88,2.9,1,0.45,0,0,-0.54,1.81,1.18,0.63
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.45,1.05,0.29,0.57,1.92,6.8,8.72,10.06,0.75,15.49,12.09,8.65,1.53,0.57,0.96,7.85,2.59,0.77,0.19,0.19,0.19,-0.57,1.92,1.34,0.57
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,52,719.17,0.33,0.58,0.08,1,5.92,7.68,9.26,0.57,5.63,4.35,7.47,3,1.17,1.17,8.26,3.17,0.67,0.58,0.17,0.17,-0.08,2.5,2.34,0.17
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ/COL","D","R",1971-07-10,36,1989,2,22,75,1754.25,0.03,0.1,0.38,0.51,2.26,3.28,4.75,0.09,1.52,1.04,2.71,5.06,0.62,0.62,3.18,2.46,1.23,0.86,0.03,0.03,-0.38,0,0,0
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,825.65,0.07,0.07,0.36,0.51,1.38,2.11,3.12,0.07,5.26,3.45,3.17,5.6,2.03,1.24,3.92,3.05,1.09,0.07,0,0.07,-0.94,0,0,0
