"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.92,49.5,51.71,51.92,51.53,47.4,92.78,94.66,863.27,806.13,1123.48,1040.51,1464.26,1377.15,72.76,80.74,-1.88,57.14,82.97,87.11,-7.98,10.75,88.26
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.18,59.88,56.57,55.33,55.57,57.77,55.9,37.45,523.54,401.87,683.64,551.85,863.8,690.64,52.52,38.4,18.45,121.67,131.79,173.16,14.12,10.68,90.68
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,52,1317.57,62.62,57.31,58.84,58.56,59.24,108.82,64.95,851.6,634.28,1132.16,791.95,1487.01,1052.07,90.7,62.4,43.87,217.32,340.21,434.94,28.3,12.78,89.76
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,17.63,0,46.1,47.19,45.29,51.72,0,2.15,7.5,8.77,12.83,14.36,18.28,22.08,0.75,0.7,-2.15,-1.27,-1.53,-3.8,0.05,0,75.48
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,24.46,37.93,44.71,48.19,49.79,3.03,9.36,51.14,83.7,83.65,103.43,130.65,140.47,5.87,5.92,-6.33,-32.56,-19.78,-9.82,-0.05,5.92,88.82
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.13,0,52.16,56.62,54.81,56.98,0,0.99,31.79,29.16,53.59,41.06,71.93,59.3,2.98,2.25,-0.99,2.63,12.53,12.63,0.73,0,96.6
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.53,55.08,45.18,45.09,46.45,48.23,4.93,4.02,30.06,36.48,44.18,53.8,65.2,75.16,2.99,3.21,0.91,-6.42,-9.62,-9.96,-0.22,16.4,88.98
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,415.85,55.4,49.75,48.78,50.42,46.52,21.02,16.92,196.48,198.48,256.34,269.12,366.04,359.91,15.66,18,4.1,-2,-12.78,6.13,-2.34,10.7,91.48
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.38,63.43,45.37,47.53,47.25,45.97,26.68,15.38,227.33,273.77,324.98,358.78,411.04,458.94,18.42,21.65,11.3,-46.44,-33.8,-47.9,-3.23,11.74,94.38
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY/EDM","D","L",1983-04-30,26,2001,3,85,41,641.63,44.43,46.25,46.77,46.02,45.2,24.51,30.65,301.18,350,424.29,482.83,554.97,650.91,25.19,30.54,-6.14,-48.82,-58.54,-95.94,-5.35,8.14,91.24
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,41.12,45.69,46,45.26,49.78,34.98,50.09,408.57,485.71,552.15,648.22,726.29,878.35,36.98,37.31,-15.11,-77.14,-96.07,-152.06,-0.33,8.56,89.69
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,44.29,57.85,57.7,58.18,53.63,3.88,4.88,78.34,57.07,112.02,82.11,157.85,113.45,5.98,5.17,-1,21.27,29.91,44.4,0.81,4.95,91.45
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.17,51.44,54.29,52.49,47.7,43.09,1.07,1.01,32.52,27.38,46.58,42.16,56.91,62.41,1.62,2.14,0.06,5.14,4.42,-5.5,-0.52,3.29,96.31
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,988.18,40.32,40.03,39.9,39.78,40.01,32.04,47.43,343.17,514.14,478.65,720.95,630.88,955.04,27.6,41.39,-15.39,-170.97,-242.3,-324.16,-13.79,9.34,90.77
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.43,42.09,37.16,41.54,41.72,49.88,3.91,5.38,51.05,86.34,85.26,119.99,115.72,161.68,6.07,6.1,-1.47,-35.29,-34.73,-45.96,-0.03,7.66,93.77
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.88,14.39,42.42,44.27,45.86,44.64,3,17.85,125.32,170.13,185.86,233.98,267.64,315.95,11.16,13.84,-14.85,-44.81,-48.12,-48.31,-2.68,2.39,89.51
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,76.59,55.79,51.73,56.01,48.33,6.15,1.88,45.94,36.41,65.01,60.65,102.53,80.54,3.61,3.86,4.27,9.53,4.36,21.99,-0.25,13.39,94.84
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,0,35.05,33.51,38.64,47.88,0,0.94,6.95,12.88,10.04,19.92,15.81,25.11,0.79,0.86,-0.94,-5.93,-9.88,-9.3,-0.07,0,92.7
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.82,55.18,43.66,41.93,41.76,41.59,6.07,4.93,47.62,61.45,63.21,87.53,78.21,109.09,3.46,4.86,1.14,-13.83,-24.32,-30.88,-1.4,12.75,91.98
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.83,49.44,51.3,49.38,49.42,50.48,12.82,13.11,154.98,147.11,210.56,215.82,275.5,281.96,11.13,10.92,-0.29,7.87,-5.26,-6.46,0.21,8.27,91.09
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,0,54.18,58.15,55.4,71.12,0,0,9.2,7.78,13.45,9.68,14.46,11.64,1.33,0.54,0,1.42,3.77,2.82,0.79,0,100
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,25.55,100,44.51,47,51.44,39.63,1.07,0,9.37,11.68,17.62,19.87,31.35,29.59,0.86,1.31,1.07,-2.31,-2.25,1.76,-0.45,11.42,100
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.52,54.04,53.81,53.77,56.08,54.31,8.03,6.83,132.78,113.98,196.86,169.24,301.73,236.28,10.45,8.79,1.2,18.8,27.62,65.45,1.66,6.05,94.01
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.88,46.6,50.36,49.3,48.95,52.21,13.09,15,154.68,152.49,198.76,204.44,258.2,269.29,11.57,10.59,-1.91,2.19,-5.68,-11.09,0.98,8.46,90.16
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,18.65,0,53.84,53.12,54.61,61.07,0,0.99,10.66,9.14,13.62,12.02,19.42,16.14,0.8,0.51,-0.99,1.52,1.6,3.28,0.29,0,89.17
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,309.03,29.69,48.11,48.68,47.33,47.66,5.98,14.16,128.56,138.66,173.35,182.73,217.71,242.25,9.86,10.83,-8.18,-10.1,-9.38,-24.54,-0.97,4.65,89.79
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.73,46.94,61.36,59.98,56.9,65.18,4.07,4.6,63.73,40.14,89.13,59.48,109.46,82.9,5.41,2.89,-0.53,23.59,29.65,26.56,2.52,6.39,88.54
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.77,46.12,49.03,48.02,49.13,47.48,29.47,34.43,356.82,370.87,481.15,520.83,644.38,667.13,27.73,30.67,-4.96,-14.05,-39.68,-22.75,-2.94,8.26,90.72
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975.03,47.68,44.48,46.04,47.4,44.68,35.69,39.17,412.94,515.45,591.73,693.43,810.47,899.39,36.12,44.73,-3.48,-102.51,-101.7,-88.92,-8.61,8.64,92.4
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.73,42.91,52.05,51.55,51.01,49.28,20.86,27.75,330.72,304.61,441.56,415,594.24,570.82,24.82,25.55,-6.89,26.11,26.56,23.42,-0.73,6.31,90.89
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414.02,35.58,37.87,38.08,40.98,37.1,13.83,25.04,149.63,245.47,212.41,345.37,308.84,444.74,12.91,21.89,-11.21,-95.84,-132.96,-135.9,-8.98,9.24,89.8
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,34.81,45.92,46.14,46.38,43.99,11.98,22.44,140.7,165.71,202.31,236.2,290.65,336.01,12.77,16.26,-10.46,-25.01,-33.89,-45.36,-3.49,8.51,86.46
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.47,49.84,57.27,53.33,51.39,51.37,3.04,3.06,51.22,38.22,67.71,59.25,83.96,79.41,3.37,3.19,-0.02,13,8.46,4.55,0.18,5.94,91.99
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.28,37.68,44.59,44.97,45.34,46.03,4.88,8.07,75.83,94.22,110.75,135.52,156.43,188.59,5.45,6.39,-3.19,-18.39,-24.77,-32.16,-0.94,6.44,91.43
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN/WSH","L","L",1985-05-30,27,2003,NA,NA,33,275.13,41.32,45.85,48.68,46.13,47.88,5,7.1,106.23,125.45,156.4,164.85,199.96,233.5,8,8.71,-2.1,-19.22,-8.45,-33.54,-0.71,4.71,94.34
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.87,37.01,39.99,40.29,40.4,40.31,4.09,6.96,101.32,152.03,140.24,207.84,197.58,291.44,7.22,10.69,-2.87,-50.71,-67.6,-93.86,-3.47,4.04,95.42
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,0,53.41,60.53,50.02,63.04,0,0,6.97,6.08,12.13,7.91,14.14,14.13,0.58,0.34,0,0.89,4.22,0.01,0.24,0,100
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,504.6,50.45,46.68,47.15,48.9,55.25,25.31,24.86,217.56,248.5,307.39,344.5,412.41,431.04,19.93,16.14,0.45,-30.94,-37.11,-18.63,3.79,11.63,90
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.58,44.99,56.77,56.68,59.69,54.17,23.05,28.18,352.59,268.51,490.7,375.09,656.92,443.63,34.23,28.96,-5.13,84.08,115.61,213.29,5.27,6.54,89.51
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.83,48.33,44.36,45.03,44.04,42.35,9.26,9.9,101.33,127.09,142.89,174.45,194.13,246.69,8.17,11.12,-0.64,-25.76,-31.56,-52.56,-2.95,9.14,92.21
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.55,17.54,48.87,48.22,45.28,46.58,1.07,5.03,28.95,30.29,43.38,46.58,51.21,61.88,2.18,2.5,-3.96,-1.34,-3.2,-10.67,-0.32,3.7,83.39
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1325.75,50.07,47.41,47.6,48.44,45.37,54.77,54.62,590.35,654.79,824.72,907.78,1083.44,1153.22,48.55,58.46,0.15,-64.44,-83.06,-69.78,-9.91,9.28,91.66
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,49.68,45.25,46.29,45.84,45.16,46.89,47.49,539.04,652.26,756.79,878.07,993.79,1174.06,45.64,55.42,-0.6,-113.22,-121.28,-180.27,-9.78,8.7,92.72
"Aaron Ward","AARON.WARD","8458519","09-10","ANA/CAR","D","R",1973-01-17,36,1991,1,5,76,1308.02,36.31,42.31,42.8,43.15,37.57,47,82.44,539.6,735.82,771.62,1031.41,1045.71,1377.74,45.83,76.15,-35.44,-196.22,-259.79,-332.03,-30.32,8.71,88.8
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,34.43,39.07,51.42,54.35,52.95,53.42,1.93,3.01,20.21,19.09,25.15,21.12,29.34,26.07,1.95,1.7,-1.08,1.12,4.03,3.27,0.25,9.55,84.23
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,31.23,48.28,54.48,51.95,55.96,51.72,1.83,1.96,21.59,18.04,24.78,22.92,39.51,31.1,1.2,1.12,-0.13,3.55,1.86,8.41,0.08,8.48,89.14
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,20.23,0,36.07,45.31,48.05,52.08,0,0,5.05,8.95,9.14,11.03,12.34,13.34,0.5,0.46,0,-3.9,-1.89,-1,0.04,0,100
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.12,53.93,51.05,51.85,53.17,52.5,38.51,32.9,391.85,375.73,516.38,479.59,686.06,604.32,36.27,32.81,5.61,16.12,36.79,81.74,3.46,9.83,91.24
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.65,55.77,53.5,53.49,54.27,53.61,34.27,27.18,314.37,273.28,412.52,358.72,556.87,469.29,30.61,26.49,7.09,41.09,53.8,87.58,4.12,10.9,90.05
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,40,685.1,46.94,48.11,49.12,49.87,46,35.76,40.42,381.24,411.12,526.7,545.66,686.1,689.54,32.99,38.72,-4.66,-29.88,-18.96,-3.44,-5.73,9.38,90.17
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,54.97,60,53.64,47.95,46.69,51.52,2.94,1.96,22.04,19.05,32.33,35.09,42.31,48.31,2.37,2.23,0.98,2.99,-2.76,-6,0.14,13.34,89.71
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.45,72.3,57.52,50.62,52.03,55.83,8.04,3.08,51.23,37.83,60.53,59.04,85.42,78.75,4.07,3.22,4.96,13.4,1.49,6.67,0.85,15.69,91.86
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL/VGK/WPG","C","L",1996-05-06,25,2016,4,92,15,158.34,68.46,52.54,51.16,51.1,52.4,4.19,1.93,74.09,66.93,105.86,101.07,140.35,134.32,6.55,5.95,2.26,7.16,4.79,6.03,0.6,5.66,97.12
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,938.38,26.67,36.22,35.62,34.5,31.23,19.57,53.81,296.76,522.48,377.02,681.43,478.54,908.44,21.69,47.77,-34.24,-225.72,-304.41,-429.9,-26.08,6.59,89.7
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.65,42.34,46,45.61,43.29,44.02,17.43,23.74,256.53,301.2,328.92,392.28,413.97,542.31,19.32,24.57,-6.31,-44.67,-63.36,-128.34,-5.25,6.79,92.12
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.07,61.42,51.8,52.02,51.08,47.91,6.24,3.92,63.62,59.2,85.27,78.65,112.11,107.38,4.48,4.87,2.32,4.42,6.62,4.73,-0.39,9.81,93.38
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904.03,40.26,41.32,40.34,38.62,37.44,25.95,38.51,344.55,489.37,473.09,699.61,629.43,1000.34,25.61,42.79,-12.56,-144.82,-226.52,-370.91,-17.18,7.53,92.13
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.22,47.98,43.93,45.04,45.24,43.57,31.88,34.56,338.82,432.39,496.13,605.41,692.84,838.66,26.85,34.77,-2.68,-93.57,-109.28,-145.82,-7.92,9.41,92.01
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,21.01,38.58,39.72,39.56,38.5,5,18.8,168.13,267.63,254.78,386.72,356.6,544.76,13.81,22.06,-13.8,-99.5,-131.94,-188.16,-8.25,2.97,92.98
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,19.6,50.84,53.16,48.13,52.7,1.95,8,59.7,57.73,98.51,86.8,121.94,131.4,5.75,5.16,-6.05,1.97,11.71,-9.46,0.59,3.27,86.14
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,18.96,32.32,32.83,33.69,27.53,3,12.82,65.28,136.72,94.61,193.56,136.2,268.11,4.87,12.82,-9.82,-71.44,-98.95,-131.91,-7.95,4.6,90.62
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI/VAN","D","R",1992-10-26,21,2011,2,36,21,349.38,59.38,55.34,55.76,54.82,49.84,20.32,13.9,198.63,160.29,269.91,214.18,346.21,285.3,15.92,16.02,6.42,38.34,55.73,60.91,-0.1,10.23,91.33
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM/PIT","D","R",1992-10-26,22,2011,2,36,29,429.08,59.05,49.15,48.4,49.46,50.61,18.99,13.17,214.2,221.57,291.42,310.64,396.34,405.02,17.04,16.63,5.82,-7.37,-19.22,-8.68,0.41,8.87,94.06
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,57.01,55.45,56.96,57.71,56.16,22.74,17.15,242.13,194.54,364.93,275.72,498.33,365.18,23.3,18.19,5.59,47.59,89.21,133.15,5.11,9.39,91.18
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.67,39.32,44.03,43.07,41.81,34.97,4.05,6.25,40.73,51.77,54.32,71.8,69.76,97.08,2.92,5.43,-2.2,-11.04,-17.48,-27.32,-2.51,9.94,87.93
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,42.62,50.76,34.81,35.29,38.41,28.78,2,1.94,17.31,32.42,23.1,42.36,32.91,52.77,1.16,2.87,0.06,-15.11,-19.26,-19.86,-1.71,11.55,94.02
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.17,52.72,49.64,47.97,48.77,44.14,10.17,9.12,91.85,93.19,127.41,138.18,182.7,191.91,6.51,8.24,1.05,-1.34,-10.77,-9.21,-1.73,11.07,90.21
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,15.28,100,49.8,57.99,57.32,60.47,0.94,0,7.34,7.4,11.47,8.31,15.85,11.8,0.52,0.34,0.94,-0.06,3.16,4.05,0.18,12.81,100
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.28,68.14,58.31,56.97,56.44,56.11,6.01,2.81,84.45,60.37,120.14,90.74,160.71,124.03,6.15,4.81,3.2,24.08,29.4,36.68,1.34,7.12,95.35
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.45,49.46,51.39,50.37,49.92,44.02,6,6.13,71.96,68.06,99.1,97.63,129.9,130.33,4.71,5.99,-0.13,3.9,1.47,-0.43,-1.28,8.34,90.99
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,7.78,37.45,37.09,38.16,32.14,0.94,11.15,59.45,99.3,82.76,140.37,110.31,178.77,3.41,7.2,-10.21,-39.85,-57.61,-68.46,-3.79,1.58,88.77
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM/VAN","R","R",1985-07-15,30,2004,9,279,52,636.02,38.82,44.57,44.81,44.55,43.5,13.14,20.71,254.15,316.09,357.21,439.91,488.2,607.53,20.22,26.26,-7.57,-61.94,-82.7,-119.33,-6.04,5.17,93.45
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.75,54.58,51.55,51.12,49.93,48.8,28.91,24.06,350.76,329.63,511.54,489.22,697.19,699.1,28.33,29.72,4.85,21.13,22.32,-1.91,-1.39,8.24,92.7
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL/NYR","R","R",1985-07-15,32,2004,9,279,5,38.55,0,34.15,35.08,39.59,20.24,0,2.07,13.33,25.7,16.92,31.31,25.35,38.68,0.67,2.64,-2.07,-12.37,-14.39,-13.33,-1.97,0,91.95
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.87,0,31.47,33.69,41.99,29.29,0,1.07,5.45,11.87,8.24,16.22,13.48,18.62,0.58,1.4,-1.07,-6.42,-7.98,-5.14,-0.82,0,90.99
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,306.98,27.55,50.6,52.96,52.18,53.02,4.99,13.12,140.64,137.33,210.18,186.65,277.4,254.23,11.33,10.04,-8.13,3.31,23.53,23.17,1.29,3.55,90.45
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.73,47.76,53.2,54.49,53.29,52.96,8.86,9.69,113.22,99.6,154.74,129.25,203.93,178.75,7.7,6.84,-0.83,13.62,25.49,25.18,0.86,7.83,90.27
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.63,62.04,49.35,49.09,49.57,51.64,34.32,21,317.75,326.06,443.44,459.79,588.73,598.94,24.83,23.25,13.32,-8.31,-16.35,-10.21,1.58,10.8,93.56
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.68,20.95,44.27,43.73,44.04,42.47,8.74,32.97,246.29,310.02,346.64,446.03,463.24,588.67,20.29,27.49,-24.23,-63.73,-99.39,-125.43,-7.2,3.55,89.37
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.45,56.42,50.06,48.76,48.79,49.6,27.8,21.47,308.44,307.74,400.95,421.42,527.82,553.92,25.57,25.98,6.33,0.7,-20.47,-26.1,-0.41,9.01,93.02
