Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,EVO_GAR/60,EVD_GAR/60,PPO_GAR/60,SHD_GAR/60,Take_GAR/60,Draw_GAR/60,Off_GAR/60,Def_GAR/60,Pens_GAR/60,GAR/60,WAR/60,SPAR/60
Aaron Ness,AARON.NESS,8474604,19-20,ARI,D,L,1990-05-18,29,2008,2,40,24,0.301,0.185,-0.009,0.576,0.126,0.123,0.3,0.191,0.249,0.731,0.13,0.25
Aaron Ness,AARON.NESS,8474604,20-21,ARI,D,L,1990-05-18,30,2008,2,40,1,-0.344,-0.045,0,0,0.126,-0.058,-0.344,-0.045,0.067,-0.322,-0.058,-0.108
Aaron Palushaj,AARON.PALUSHAJ,8474030,10-11,MTL,R,R,1989-09-07,21,2007,2,44,3,0.466,-0.388,0.096,0,-0.216,0.254,0.443,-0.388,0.039,0.118,0.021,0.04
Aaron Palushaj,AARON.PALUSHAJ,8474030,11-12,MTL,R,R,1989-09-07,22,2007,2,44,38,0.123,0.135,-0.367,0.357,0.009,0.3,0.121,0.135,0.309,0.562,0.098,0.182
Aaron Palushaj,AARON.PALUSHAJ,8474030,12-13,COL,R,R,1989-09-07,23,2007,2,44,25,0.696,0.067,0.045,-0.725,-0.007,0.215,0.653,0.066,0.208,0.92,0.171,0.317
Aaron Palushaj,AARON.PALUSHAJ,8474030,13-14,CAR,R,R,1989-09-07,24,2007,2,44,2,-0.205,0.131,-0.262,-0.226,0.149,-0.138,-0.207,0.119,0.011,-0.074,-0.014,-0.026
Aaron Rome,AARON.ROME,8470310,07-08,CBJ,D,L,1983-09-27,23,2002,4,104,17,-0.306,0.096,-2.103,0.735,0.112,-0.048,-0.435,0.158,0.064,-0.183,-0.033,-0.064
Aaron Rome,AARON.ROME,8470310,08-09,CBJ,D,L,1983-09-27,24,2002,4,104,8,0,0.586,-1.036,0.734,0.176,-0.078,-0.051,0.591,0.097,0.606,0.11,0.211
Aaron Rome,AARON.ROME,8470310,09-10,VAN,D,L,1983-09-27,25,2002,4,104,49,-0.252,-0.067,-1.36,0.938,0.05,-0.028,-0.283,-0.006,0.022,-0.25,-0.045,-0.087
Aaron Rome,AARON.ROME,8470310,10-11,VAN,D,L,1983-09-27,26,2002,4,104,56,-0.107,-0.048,3.611,0.109,-0.039,-0.042,-0.009,-0.032,-0.081,-0.12,-0.022,-0.041
Aaron Rome,AARON.ROME,8470310,11-12,VAN,D,L,1983-09-27,27,2002,4,104,43,-0.427,0.122,2.779,-0.773,-0.054,0.001,-0.308,0.08,-0.053,-0.269,-0.047,-0.087
Aaron Rome,AARON.ROME,8470310,12-13,DAL,D,L,1983-09-27,28,2002,4,104,27,-0.032,-0.013,-0.066,-1.746,-0.013,0.021,-0.032,-0.191,0.008,-0.209,-0.039,-0.072
Aaron Rome,AARON.ROME,8470310,13-14,DAL,D,L,1983-09-27,29,2002,4,104,25,0.036,-0.061,1.21,-1.716,0.076,-0.034,0.041,-0.186,0.042,-0.105,-0.02,-0.037
Aaron Volpatti,AARON.VOLPATTI,8475619,10-11,VAN,L,L,1985-05-30,25,2003,NA,NA,15,-0.408,0.084,1.514,-0.224,-0.055,-0.154,-0.314,0.084,-0.209,-0.443,-0.079,-0.151
Aaron Volpatti,AARON.VOLPATTI,8475619,11-12,VAN,L,L,1985-05-30,26,2003,NA,NA,23,-0.085,0.343,0.1,-0.655,-0.163,0.012,-0.083,0.34,-0.151,0.101,0.018,0.033
Aaron Volpatti,AARON.VOLPATTI,8475619,12-13,VAN/WSH,L,L,1985-05-30,27,2003,NA,NA,33,-0.33,0.181,0.072,-0.596,-0.041,-0.022,-0.325,0.181,-0.063,-0.208,-0.039,-0.072
Aaron Volpatti,AARON.VOLPATTI,8475619,13-14,WSH,L,L,1985-05-30,28,2003,NA,NA,41,-0.575,-0.093,0.615,-0.417,-0.061,-0.057,-0.572,-0.093,-0.118,-0.779,-0.148,-0.276
Aaron Volpatti,AARON.VOLPATTI,8475619,14-15,WSH,L,L,1985-05-30,29,2003,NA,NA,2,-0.274,0.279,0,0,0.138,0.469,-0.274,0.279,0.607,0.612,0.117,0.222
Aaron Voros,AARON.VOROS,8469672,07-08,MIN,L,L,1981-07-02,26,2001,8,229,55,0.316,-0.197,0.24,-0.014,-0.213,0.022,0.305,-0.197,-0.191,-0.056,-0.01,-0.02
Aaron Voros,AARON.VOROS,8469672,08-09,NYR,L,L,1981-07-02,27,2001,8,229,54,0.267,-0.491,-1.429,-0.579,-0.216,0.109,0.027,-0.491,-0.107,-0.497,-0.09,-0.173
Aaron Voros,AARON.VOROS,8469672,09-10,NYR,L,L,1981-07-02,28,2001,8,229,41,0.15,-0.202,1.204,-0.286,-0.231,-0.029,0.159,-0.202,-0.26,-0.302,-0.055,-0.105
Aaron Voros,AARON.VOROS,8469672,10-11,ANA,L,L,1981-07-02,29,2001,8,229,12,-0.217,0.033,0,0,-0.52,0.48,-0.217,0.033,-0.041,-0.224,-0.04,-0.077
Aaron Ward,AARON.WARD,8458519,07-08,BOS,D,R,1973-01-17,34,1991,1,5,64,0.193,0.01,0.199,-0.552,-0.006,-0.017,0.193,-0.062,-0.023,0.09,0.016,0.031
Aaron Ward,AARON.WARD,8458519,08-09,BOS,D,R,1973-01-17,35,1991,1,5,64,-0.095,0.171,-1.695,0.037,-0.015,-0.033,-0.125,0.155,-0.048,-0.007,-0.001,-0.002
Aaron Ward,AARON.WARD,8458519,09-10,ANA/CAR,D,R,1973-01-17,36,1991,1,5,76,-0.062,-0.251,-0.148,-0.518,-0.072,-0.005,-0.063,-0.286,-0.077,-0.412,-0.075,-0.144
Adam Almquist,ADAM.ALMQUIST,8475332,13-14,DET,D,L,1991-02-27,22,2009,7,209,2,0.587,-0.453,-0.025,0.307,0.137,-0.066,0.557,-0.442,0.072,0.197,0.037,0.07
Adam Beckman,ADAM.BECKMAN,8481550,21-22,MIN,L,L,2001-05-10,20,2019,3,75,3,-0.376,-0.191,0.99,-0.174,-0.573,-0.122,-0.268,-0.191,-0.695,-1.113,-0.199,-0.377
Adam Berti,ADAM.BERTI,8471281,07-08,CHI,L,L,1986-07-01,21,2004,3,68,2,-0.118,0.229,-0.137,0,0.183,-0.193,-0.118,0.229,-0.01,0.096,0.017,0.033
Adam Boqvist,ADAM.BOQVIST,8480871,19-20,CHI,D,R,2000-08-15,19,2018,1,8,41,0.552,-0.169,-0.2,0.041,0.078,0.07,0.452,-0.169,0.148,0.447,0.079,0.153
Adam Boqvist,ADAM.BOQVIST,8480871,20-21,CHI,D,R,2000-08-15,20,2018,1,8,35,0.265,-0.209,0.085,0.532,-0.021,0.17,0.228,-0.202,0.149,0.213,0.038,0.071
Adam Boqvist,ADAM.BOQVIST,8480871,21-22,CBJ,D,R,2000-08-15,21,2018,1,8,40,0.128,-0.248,-0.221,0.218,0.046,0.02,0.087,-0.247,0.067,-0.062,-0.011,-0.021
Adam Brooks,ADAM.BROOKS,8478996,19-20,TOR,C,L,1996-05-06,23,2016,4,92,7,0.907,-0.099,0.23,-0.043,0.134,0.066,0.892,-0.097,0.2,0.962,0.171,0.329
Adam Brooks,ADAM.BROOKS,8478996,20-21,TOR,C,L,1996-05-06,24,2016,4,92,11,0.314,0.56,1.324,0.22,0.13,-0.022,0.327,0.546,0.108,0.955,0.171,0.319
Adam Brooks,ADAM.BROOKS,8478996,21-22,MTL/VGK/WPG,C,L,1996-05-06,25,2016,4,92,15,-0.053,0.023,-0.428,-0.363,0.061,-0.049,-0.069,0.016,0.012,-0.04,-0.007,-0.014
Adam Burish,ADAM.BURISH,8470063,07-08,CHI,R,R,1983-01-06,24,2002,9,282,80,-0.252,0.021,-0.648,-0.443,0.003,0.083,-0.262,-0.093,0.086,-0.2,-0.036,-0.07
Adam Burish,ADAM.BURISH,8470063,08-09,CHI,R,R,1983-01-06,25,2002,9,282,66,0.281,0.255,-0.439,1.557,-0.022,0.028,0.276,0.518,0.007,0.735,0.133,0.256
Adam Burish,ADAM.BURISH,8470063,09-10,CHI,R,R,1983-01-06,26,2002,9,282,13,0.782,-0.492,0.009,0.005,0.081,0.106,0.781,-0.485,0.187,0.472,0.085,0.164
Adam Burish,ADAM.BURISH,8470063,10-11,DAL,R,R,1983-01-06,27,2002,9,282,63,0.09,0.194,-1.064,0.115,-0.058,-0.012,0.074,0.183,-0.07,0.17,0.03,0.058
Adam Burish,ADAM.BURISH,8470063,11-12,DAL,R,R,1983-01-06,28,2002,9,282,65,0.147,0.205,3.905,-0.385,-0.042,0.009,0.32,0.135,-0.033,0.375,0.065,0.121
Adam Burish,ADAM.BURISH,8470063,12-13,S.J,R,R,1983-01-06,29,2002,9,282,46,-0.527,-0.149,-0.478,0.053,-0.045,0.283,-0.527,-0.124,0.238,-0.346,-0.064,-0.119
Adam Burish,ADAM.BURISH,8470063,13-14,S.J,R,R,1983-01-06,30,2002,9,282,15,-0.443,0.465,-0.177,-1.332,-0.084,-0.065,-0.439,0.252,-0.149,-0.288,-0.055,-0.102
Adam Burish,ADAM.BURISH,8470063,14-15,S.J,R,R,1983-01-06,31,2002,9,282,20,-0.292,-0.572,-0.008,-0.697,-0.238,0.118,-0.29,-0.589,-0.121,-0.955,-0.182,-0.347
Adam Clendening,ADAM.CLENDENING,8476431,14-15,CHI/VAN,D,R,1992-10-26,21,2011,2,36,21,0.516,-0.376,0.299,-0.059,-0.015,-0.032,0.489,-0.375,-0.047,0.111,0.021,0.04
Adam Clendening,ADAM.CLENDENING,8476431,15-16,EDM/PIT,D,R,1992-10-26,22,2011,2,36,29,0.556,0.078,-1.818,0.184,-0.116,0.036,0.425,0.078,-0.08,0.411,0.079,0.153
Adam Clendening,ADAM.CLENDENING,8476431,16-17,NYR,D,R,1992-10-26,23,2011,2,36,31,0.121,0.156,-0.883,0.089,0.018,-0.02,0.028,0.155,-0.002,0.165,0.031,0.06
Adam Clendening,ADAM.CLENDENING,8476431,17-18,ARI,D,R,1992-10-26,24,2011,2,36,5,0.674,-1.578,-0.246,-0.007,-0.014,-0.06,0.652,-1.565,-0.074,-0.946,-0.184,-0.353
Adam Clendening,ADAM.CLENDENING,8476431,18-19,CBJ,D,R,1992-10-26,25,2011,2,36,4,0.436,-0.81,-0.154,-0.004,0.126,-0.056,0.418,-0.693,0.07,-0.246,-0.046,-0.086
Adam Cracknell,ADAM.CRACKNELL,8471490,10-11,STL,R,R,1985-07-15,25,2004,9,279,24,0.748,-0.116,-0.052,-0.317,-0.047,-0.065,0.744,-0.121,-0.111,0.49,0.087,0.168
Adam Cracknell,ADAM.CRACKNELL,8471490,11-12,STL,R,R,1985-07-15,26,2004,9,279,2,0.611,0.347,0,-0.131,0.155,-0.137,0.611,0.309,0.018,0.89,0.155,0.288
Adam Cracknell,ADAM.CRACKNELL,8471490,12-13,STL,R,R,1985-07-15,27,2004,9,279,20,0.366,0.193,0.005,0.2,0.033,-0.006,0.366,0.193,0.026,0.581,0.108,0.2
Adam Cracknell,ADAM.CRACKNELL,8471490,13-14,STL,R,R,1985-07-15,28,2004,9,279,19,0.502,-0.269,0.007,-0.421,0.149,0.071,0.495,-0.271,0.22,0.441,0.084,0.156
Adam Cracknell,ADAM.CRACKNELL,8471490,14-15,CBJ,R,R,1985-07-15,29,2004,9,279,17,-0.763,-0.233,0.158,0.758,0.081,-0.059,-0.755,-0.177,0.022,-0.863,-0.164,-0.313
Adam Cracknell,ADAM.CRACKNELL,8471490,15-16,EDM/VAN,R,R,1985-07-15,30,2004,9,279,52,-0.202,0.183,-0.475,-0.162,-0.051,0.069,-0.205,0.165,0.018,-0.012,-0.002,-0.005
Adam Cracknell,ADAM.CRACKNELL,8471490,16-17,DAL,R,R,1985-07-15,31,2004,9,279,69,0.288,0.097,-0.872,0.678,0.029,0.117,0.277,0.126,0.146,0.533,0.1,0.194
Adam Cracknell,ADAM.CRACKNELL,8471490,17-18,DAL/NYR,R,R,1985-07-15,32,2004,9,279,5,-0.334,-0.593,0,-0.387,0.137,-0.129,-0.334,-0.568,0.008,-0.853,-0.166,-0.318
Adam Cracknell,ADAM.CRACKNELL,8471490,18-19,ANA,R,R,1985-07-15,33,2004,9,279,2,-0.359,-0.591,0,-0.511,0.131,-0.124,-0.359,-0.59,0.007,-0.934,-0.174,-0.328
Adam Erne,ADAM.ERNE,8477454,16-17,T.B,L,L,1995-04-20,21,2013,2,33,26,-0.607,0.204,-1.167,0,0.022,0.046,-0.654,0.204,0.067,-0.395,-0.074,-0.144
Adam Erne,ADAM.ERNE,8477454,17-18,T.B,L,L,1995-04-20,22,2013,2,33,23,-0.066,0.369,0.25,-0.01,0.038,-0.043,-0.066,0.368,-0.005,0.295,0.057,0.11
Adam Erne,ADAM.ERNE,8477454,18-19,T.B,L,L,1995-04-20,23,2013,2,33,65,0.182,0.128,0.268,-1.299,0,-0.007,0.187,0.087,-0.008,0.255,0.048,0.09
Adam Erne,ADAM.ERNE,8477454,19-20,DET,L,L,1995-04-20,24,2013,2,33,56,-0.336,0.032,-2.317,-0.521,0,-0.091,-0.486,0.028,-0.092,-0.542,-0.096,-0.185
Adam Erne,ADAM.ERNE,8477454,20-21,DET,L,L,1995-04-20,25,2013,2,33,45,0.198,-0.221,0.518,-0.579,0.011,-0.102,0.233,-0.223,-0.092,-0.057,-0.01,-0.019
Adam Erne,ADAM.ERNE,8477454,21-22,DET,L,L,1995-04-20,26,2013,2,33,52,-0.371,0.056,-0.684,-0.147,0.039,-0.045,-0.4,0.054,-0.007,-0.348,-0.062,-0.118
Adam Foote,ADAM.FOOTE,8456283,07-08,CBJ/COL,D,R,1971-07-10,36,1989,2,22,75,-0.161,0.153,-1.112,0.303,-0.021,0.027,-0.186,0.182,0.005,0.033,0.006,0.011
Adam Foote,ADAM.FOOTE,8456283,08-09,COL,D,R,1971-07-10,37,1989,2,22,42,-0.174,0.029,-0.459,-0.93,-0.018,-0.05,-0.176,-0.149,-0.068,-0.358,-0.065,-0.125
Adam Foote,ADAM.FOOTE,8456283,09-10,COL,D,R,1971-07-10,38,1989,2,22,67,0.144,-0.091,0.149,-1.027,0.018,-0.012,0.144,-0.222,0.005,-0.089,-0.016,-0.031
Adam Foote,ADAM.FOOTE,8456283,10-11,COL,D,R,1971-07-10,39,1989,2,22,47,-0.054,-0.065,-0.568,-0.579,0.057,-0.018,-0.059,-0.148,0.039,-0.155,-0.028,-0.053
Adam Fox,ADAM.FOX,8479323,19-20,NYR,D,R,1998-02-17,21,2016,3,66,70,0.549,0.143,0.335,0.872,-0.001,0.035,0.526,0.149,0.033,0.676,0.12,0.231
Adam Fox,ADAM.FOX,8479323,20-21,NYR,D,R,1998-02-17,22,2016,3,66,55,0.15,0.286,0.749,-0.359,0.069,-0.024,0.25,0.206,0.045,0.432,0.078,0.144
Adam Fox,ADAM.FOX,8479323,21-22,NYR,D,R,1998-02-17,23,2016,3,66,50,0.288,0.169,0.952,-0.295,0.067,0.033,0.382,0.12,0.1,0.541,0.097,0.183
Adam Gaudette,ADAM.GAUDETTE,8478874,17-18,VAN,C,R,1996-10-03,20,2015,5,149,5,0.03,-0.1,-0.293,0.141,0.137,-0.129,0.011,-0.098,0.008,-0.073,-0.014,-0.027
Adam Gaudette,ADAM.GAUDETTE,8478874,18-19,VAN,C,R,1996-10-03,21,2015,5,149,56,-0.038,-0.296,0.363,-0.114,-0.015,0.08,0.012,-0.296,0.064,-0.181,-0.034,-0.064
Adam Gaudette,ADAM.GAUDETTE,8478874,19-20,VAN,C,R,1996-10-03,22,2015,5,149,59,0.199,-0.045,2.272,-0.321,-0.03,-0.006,0.457,-0.045,-0.036,0.376,0.067,0.129
Adam Gaudette,ADAM.GAUDETTE,8478874,20-21,CHI/VAN,C,R,1996-10-03,23,2015,5,149,40,-0.286,-0.368,0.986,-0.357,-0.017,0.053,-0.169,-0.368,0.035,-0.462,-0.083,-0.154
Adam Gaudette,ADAM.GAUDETTE,8478874,21-22,CHI/OTT,C,R,1996-10-03,24,2015,5,149,31,0.287,-0.258,-0.127,-0.317,-0.022,-0.007,0.238,-0.258,-0.03,-0.02,-0.004,-0.007
Adam Hall,ADAM.HALL,8467925,07-08,PIT,R,R,1980-08-14,27,1999,2,52,46,-0.489,-0.206,1.577,-0.366,0.028,-0.036,-0.438,-0.251,-0.008,-0.565,-0.102,-0.197
Adam Hall,ADAM.HALL,8467925,08-09,T.B,R,R,1980-08-14,28,1999,2,52,74,-0.222,0.085,3.632,0.732,0.068,0.065,-0.174,0.235,0.133,0.23,0.042,0.08
Adam Hall,ADAM.HALL,8467925,10-11,T.B,R,R,1980-08-14,30,1999,2,52,82,-0.216,0.204,0.333,-0.137,0.06,0.071,-0.208,0.138,0.131,0.099,0.018,0.034
Adam Hall,ADAM.HALL,8467925,11-12,T.B,R,R,1980-08-14,31,1999,2,52,57,-0.061,0.146,1.167,-0.453,0.029,0.006,-0.055,0.001,0.035,-0.006,-0.001,-0.002
Adam Hall,ADAM.HALL,8467925,12-13,CAR/PHI/T.B,R,R,1980-08-14,32,1999,2,52,37,-0.317,0.141,0,0.406,0.047,-0.021,-0.314,0.192,0.026,-0.037,-0.007,-0.013
Adam Hall,ADAM.HALL,8467925,13-14,PHI,R,R,1980-08-14,33,1999,2,52,80,-0.109,0.125,-0.114,-0.271,0.012,-0.044,-0.109,0.004,-0.032,-0.104,-0.02,-0.037
Adam Henrique,ADAM.HENRIQUE,8474641,10-11,N.J,C,L,1990-02-06,20,2008,3,82,1,0.539,0.412,-0.483,0,0.16,-0.154,0.481,0.412,0.006,0.876,0.156,0.3
Adam Henrique,ADAM.HENRIQUE,8474641,11-12,N.J,C,L,1990-02-06,21,2008,3,82,74,0.49,0.18,0.109,0.303,0.145,-0.031,0.452,0.194,0.114,0.692,0.121,0.224
Adam Henrique,ADAM.HENRIQUE,8474641,12-13,N.J,C,L,1990-02-06,22,2008,3,82,42,0.086,0.078,-0.813,-0.214,0.088,-0.034,-0.06,0.045,0.053,0.038,0.007,0.013
Adam Henrique,ADAM.HENRIQUE,8474641,13-14,N.J,C,L,1990-02-06,23,2008,3,82,77,0.261,0.014,0.884,0.622,0.093,0.008,0.346,0.098,0.101,0.483,0.091,0.171
Adam Henrique,ADAM.HENRIQUE,8474641,14-15,N.J,C,L,1990-02-06,24,2008,3,82,75,0.227,-0.224,2.514,-0.105,0.055,-0.039,0.481,-0.21,0.016,0.252,0.048,0.091
Adam Henrique,ADAM.HENRIQUE,8474641,15-16,N.J,C,L,1990-02-06,25,2008,3,82,80,0.493,0.149,0.002,-0.004,0.083,-0.031,0.416,0.125,0.052,0.502,0.097,0.186
Adam Henrique,ADAM.HENRIQUE,8474641,16-17,N.J,C,L,1990-02-06,26,2008,3,82,82,0.291,-0.128,0.018,0.403,0.037,-0.003,0.248,-0.05,0.034,0.203,0.038,0.074
Adam Henrique,ADAM.HENRIQUE,8474641,17-18,ANA/N.J,C,L,1990-02-06,27,2008,3,82,81,0.203,-0.019,0.964,-1.498,0.078,-0.055,0.324,-0.176,0.023,0.162,0.032,0.06
Adam Henrique,ADAM.HENRIQUE,8474641,18-19,ANA,C,L,1990-02-06,28,2008,3,82,82,0.116,0.232,0.6,0.341,0.066,-0.048,0.19,0.241,0.018,0.39,0.073,0.137
Adam Henrique,ADAM.HENRIQUE,8474641,19-20,ANA,C,L,1990-02-06,29,2008,3,82,71,0.393,-0.015,-0.113,0.175,0.037,-0.038,0.319,-0.007,-0.002,0.288,0.051,0.098
Adam Henrique,ADAM.HENRIQUE,8474641,20-21,ANA,C,L,1990-02-06,30,2008,3,82,45,0.539,-0.186,0.081,-0.527,0.112,-0.078,0.484,-0.208,0.035,0.298,0.053,0.1
Adam Henrique,ADAM.HENRIQUE,8474641,21-22,ANA,C,L,1990-02-06,31,2008,3,82,33,0.536,-0.062,1.526,0.177,0.073,-0.041,0.666,-0.059,0.033,0.619,0.111,0.21
Adam Johnson,ADAM.JOHNSON,8480341,18-19,PIT,C,L,1994-06-22,24,2012,NA,NA,6,1.461,-0.344,0,0,0.131,-0.124,1.461,-0.344,0.007,1.124,0.21,0.394
Adam Johnson,ADAM.JOHNSON,8480341,19-20,PIT,C,L,1994-06-22,25,2012,NA,NA,7,1.186,0.498,0,-0.549,-0.07,-0.124,1.186,0.493,-0.195,1.477,0.263,0.505
Adam Larsson,ADAM.LARSSON,8476457,11-12,N.J,D,R,1992-11-12,18,2011,1,4,65,0.101,0.126,-0.64,0.848,0.05,-0.018,0.041,0.143,0.032,0.202,0.035,0.065
Adam Larsson,ADAM.LARSSON,8476457,12-13,N.J,D,R,1992-11-12,19,2011,1,4,37,0.136,0.018,-0.455,-0.109,0.059,0.037,0.13,0.01,0.096,0.227,0.042,0.078
Adam Larsson,ADAM.LARSSON,8476457,13-14,N.J,D,R,1992-11-12,20,2011,1,4,26,-0.275,0.298,-1.394,0.026,-0.018,0.013,-0.307,0.284,-0.005,-0.02,-0.004,-0.007
