Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,xTake_GAR,xDraw_GAR,xOff_GAR,xDef_GAR,xPens_GAR,xGAR,xWAR,xSPAR
Adam Clendening,ADAM.CLENDENING,8476431,14-15,CHI/VAN,D,R,1992-10-26,21,2011,2,36,21,0.5,-1,0.7,0,-0.1,-0.2,1.2,-1,-0.3,-0.1,0,0
Adam Clendening,ADAM.CLENDENING,8476431,15-16,EDM/PIT,D,R,1992-10-26,22,2011,2,36,29,0,-0.2,-0.2,0,-0.8,0.3,-0.2,-0.2,-0.6,-1,-0.2,-0.4
Adam Clendening,ADAM.CLENDENING,8476431,16-17,NYR,D,R,1992-10-26,23,2011,2,36,31,1.2,1.7,0.5,0,0.1,-0.2,1.7,1.7,0,3.3,0.6,1.2
Adam Clendening,ADAM.CLENDENING,8476431,17-18,ARI,D,R,1992-10-26,24,2011,2,36,5,0.1,-1.5,0,0,0,-0.1,0.1,-1.5,-0.1,-1.5,-0.3,-0.5
Adam Clendening,ADAM.CLENDENING,8476431,18-19,CBJ,D,R,1992-10-26,25,2011,2,36,4,-0.1,-0.5,0,0,0.1,0,-0.1,-0.5,0,-0.5,-0.1,-0.2
Adam Cracknell,ADAM.CRACKNELL,8471490,10-11,STL,R,R,1985-07-15,25,2004,9,279,24,1.1,0,0,0,-0.2,-0.2,1.1,0,-0.4,0.7,0.1,0.2
Adam Cracknell,ADAM.CRACKNELL,8471490,11-12,STL,R,R,1985-07-15,26,2004,9,279,2,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0.1
Adam Cracknell,ADAM.CRACKNELL,8471490,12-13,STL,R,R,1985-07-15,27,2004,9,279,20,2,0.5,0,0,0.1,0,2,0.5,0.1,2.6,0.5,0.9
Adam Cracknell,ADAM.CRACKNELL,8471490,13-14,STL,R,R,1985-07-15,28,2004,9,279,19,-0.6,-0.3,0,0,0.4,0.2,-0.6,-0.3,0.6,-0.2,0,-0.1
Adam Cracknell,ADAM.CRACKNELL,8471490,14-15,CBJ,R,R,1985-07-15,29,2004,9,279,17,-1.3,-1.2,0,0.2,0.2,-0.2,-1.3,-1.1,0.1,-2.3,-0.4,-0.8
Adam Cracknell,ADAM.CRACKNELL,8471490,15-16,EDM/VAN,R,R,1985-07-15,30,2004,9,279,52,1.5,0.5,0,-0.1,-0.5,0.7,1.5,0.4,0.2,2.1,0.4,0.8
Adam Cracknell,ADAM.CRACKNELL,8471490,16-17,DAL,R,R,1985-07-15,31,2004,9,279,69,5.3,1,-0.1,0.5,0.3,1.4,5.2,1.5,1.8,8.4,1.6,3.1
Adam Cracknell,ADAM.CRACKNELL,8471490,17-18,DAL/NYR,R,R,1985-07-15,32,2004,9,279,5,-0.1,-0.2,0,0,0.1,-0.1,-0.1,-0.1,0,-0.2,0,-0.1
Adam Cracknell,ADAM.CRACKNELL,8471490,18-19,ANA,R,R,1985-07-15,33,2004,9,279,2,0,-0.1,0,0,0,0,0,-0.1,0,-0.1,0,0
Adam Erne,ADAM.ERNE,8477454,16-17,T.B,L,L,1995-04-20,21,2013,2,33,26,0.3,1.1,0,0,0.1,0.2,0.3,1.1,0.3,1.7,0.3,0.6
Adam Erne,ADAM.ERNE,8477454,17-18,T.B,L,L,1995-04-20,22,2013,2,33,23,0.3,2.2,0,0,0.1,-0.2,0.3,2.2,0,2.5,0.5,0.9
Adam Erne,ADAM.ERNE,8477454,18-19,T.B,L,L,1995-04-20,23,2013,2,33,65,0,1,0,-0.2,0,-0.1,0,0.9,-0.1,0.8,0.1,0.3
Adam Erne,ADAM.ERNE,8477454,19-20,DET,L,L,1995-04-20,24,2013,2,33,56,-2.4,1.7,-1,0,0,-1,-3.3,1.8,-1,-2.6,-0.5,-0.9
Adam Erne,ADAM.ERNE,8477454,20-21,DET,L,L,1995-04-20,25,2013,2,33,45,4.2,-1.4,1.1,0,0.1,-1.1,5.3,-1.4,-1,3,0.5,1
Adam Erne,ADAM.ERNE,8477454,21-22,DET,L,L,1995-04-20,26,2013,2,33,52,-2.2,-0.9,-0.6,0,0.5,-0.5,-2.8,-0.8,-0.1,-3.7,-0.7,-1.3
Adam Foote,ADAM.FOOTE,8456283,07-08,CBJ/COL,D,R,1971-07-10,36,1989,2,22,75,-3.6,2.7,-0.3,1.7,-0.6,0.8,-3.9,4.4,0.2,0.7,0.1,0.2
Adam Foote,ADAM.FOOTE,8456283,08-09,COL,D,R,1971-07-10,37,1989,2,22,42,0.3,0.3,0,-2.7,-0.2,-0.7,0.3,-2.4,-0.9,-3.1,-0.6,-1.1
Adam Foote,ADAM.FOOTE,8456283,09-10,COL,D,R,1971-07-10,38,1989,2,22,67,-1.7,-4.2,0.1,-3.2,0.4,-0.3,-1.7,-7.4,0.1,-9,-1.6,-3.1
Adam Foote,ADAM.FOOTE,8456283,10-11,COL,D,R,1971-07-10,39,1989,2,22,47,-1.5,-1.1,0,-1.5,0.8,-0.2,-1.5,-2.6,0.6,-3.5,-0.6,-1.2
Adam Fox,ADAM.FOX,8479323,19-20,NYR,D,R,1998-02-17,21,2016,3,66,70,9,5.7,0.4,0.3,0,0.8,9.4,6,0.7,16.1,2.9,5.5
Adam Fox,ADAM.FOX,8479323,20-21,NYR,D,R,1998-02-17,22,2016,3,66,55,3,3.6,3.8,-1,1.6,-0.5,6.8,2.7,1,10.5,1.9,3.5
Adam Fox,ADAM.FOX,8479323,21-22,NYR,D,R,1998-02-17,23,2016,3,66,50,7,3.3,1.2,-0.3,1.4,0.7,8.3,3,2,13.3,2.4,4.5
Adam Gaudette,ADAM.GAUDETTE,8478874,17-18,VAN,C,R,1996-10-03,20,2015,5,149,5,-0.4,-0.2,0,0,0.1,-0.1,-0.4,-0.2,0,-0.6,-0.1,-0.2
Adam Gaudette,ADAM.GAUDETTE,8478874,18-19,VAN,C,R,1996-10-03,21,2015,5,149,56,-0.7,-2.6,-1.4,0,-0.2,0.8,-2.1,-2.6,0.7,-4.1,-0.8,-1.4
Adam Gaudette,ADAM.GAUDETTE,8478874,19-20,VAN,C,R,1996-10-03,22,2015,5,149,59,0.4,-1.7,2.3,0,-0.4,-0.1,2.7,-1.7,-0.4,0.5,0.1,0.2
Adam Gaudette,ADAM.GAUDETTE,8478874,20-21,CHI/VAN,C,R,1996-10-03,23,2015,5,149,40,-1.7,-1.8,-0.3,0,-0.1,0.4,-2,-1.8,0.3,-3.6,-0.6,-1.2
Adam Gaudette,ADAM.GAUDETTE,8478874,21-22,CHI/OTT,C,R,1996-10-03,24,2015,5,149,31,1,-0.8,0.1,0,-0.1,0,1.2,-0.8,-0.2,0.2,0,0.1
Adam Hall,ADAM.HALL,8467925,07-08,PIT,R,R,1980-08-14,27,1999,2,52,46,-2.9,-1.4,0,-1,0.3,-0.3,-2.9,-2.4,-0.1,-5.4,-1,-1.9
Adam Hall,ADAM.HALL,8467925,08-09,T.B,R,R,1980-08-14,28,1999,2,52,74,0.4,1.9,0.2,1.5,0.9,0.9,0.6,3.4,1.8,5.9,1.1,2.1
Adam Hall,ADAM.HALL,8467925,10-11,T.B,R,R,1980-08-14,30,1999,2,52,82,-4.1,4,0.1,-0.9,1.2,1.4,-4,3.1,2.7,1.7,0.3,0.6
Adam Hall,ADAM.HALL,8467925,11-12,T.B,R,R,1980-08-14,31,1999,2,52,57,-2.3,1.4,0,-1.7,0.3,0.1,-2.3,-0.3,0.4,-2.2,-0.4,-0.7
Adam Hall,ADAM.HALL,8467925,12-13,CAR/PHI/T.B,R,R,1980-08-14,32,1999,2,52,37,-2,1.3,0,0,0.3,-0.1,-2,1.4,0.2,-0.5,-0.1,-0.2
Adam Hall,ADAM.HALL,8467925,13-14,PHI,R,R,1980-08-14,33,1999,2,52,80,-3.2,0.8,0,-0.3,0.2,-0.6,-3.2,0.5,-0.4,-3.1,-0.6,-1.1
Adam Henrique,ADAM.HENRIQUE,8474641,10-11,N.J,C,L,1990-02-06,20,2008,3,82,1,0,0,0,0,0,0,0,0,0,0.1,0,0
Adam Henrique,ADAM.HENRIQUE,8474641,11-12,N.J,C,L,1990-02-06,21,2008,3,82,74,6.1,3,-1.3,1.2,3.3,-0.7,4.8,4.1,2.6,11.5,2,3.7
Adam Henrique,ADAM.HENRIQUE,8474641,12-13,N.J,C,L,1990-02-06,22,2008,3,82,42,0.3,0.7,-0.1,0.3,1.1,-0.4,0.2,1,0.7,1.9,0.3,0.6
Adam Henrique,ADAM.HENRIQUE,8474641,13-14,N.J,C,L,1990-02-06,23,2008,3,82,77,8.9,0.6,2.9,2,2.2,0.2,11.8,2.6,2.3,16.7,3.2,5.9
Adam Henrique,ADAM.HENRIQUE,8474641,14-15,N.J,C,L,1990-02-06,24,2008,3,82,75,5.8,-3,2.2,-0.1,1.2,-0.9,8,-3.2,0.4,5.1,1,1.9
Adam Henrique,ADAM.HENRIQUE,8474641,15-16,N.J,C,L,1990-02-06,25,2008,3,82,80,10.5,2.6,4.5,-0.5,2.2,-0.8,15,2.2,1.4,18.5,3.6,6.9
Adam Henrique,ADAM.HENRIQUE,8474641,16-17,N.J,C,L,1990-02-06,26,2008,3,82,82,4.3,-3.1,3,0.8,0.9,-0.1,7.3,-2.3,0.8,5.8,1.1,2.1
Adam Henrique,ADAM.HENRIQUE,8474641,17-18,ANA/N.J,C,L,1990-02-06,27,2008,3,82,81,5.4,-0.4,1.7,-2.7,1.9,-1.3,7.2,-3.1,0.6,4.6,0.9,1.7
Adam Henrique,ADAM.HENRIQUE,8474641,18-19,ANA,C,L,1990-02-06,28,2008,3,82,82,0.4,2,4.5,0,1.5,-1.1,4.9,2,0.4,7.3,1.4,2.6
Adam Henrique,ADAM.HENRIQUE,8474641,19-20,ANA,C,L,1990-02-06,29,2008,3,82,71,6.8,0.1,0.1,0.3,0.7,-0.8,6.9,0.4,0,7.3,1.3,2.5
Adam Henrique,ADAM.HENRIQUE,8474641,20-21,ANA,C,L,1990-02-06,30,2008,3,82,45,8.4,-2.2,0.1,-0.4,1.3,-0.9,8.5,-2.6,0.4,6.3,1.1,2.1
Adam Henrique,ADAM.HENRIQUE,8474641,21-22,ANA,C,L,1990-02-06,31,2008,3,82,33,0.7,0.1,2.3,0.1,0.7,-0.4,3,0.1,0.3,3.5,0.6,1.2
Adam Johnson,ADAM.JOHNSON,8480341,18-19,PIT,C,L,1994-06-22,24,2012,NA,NA,6,0,-0.1,0,0,0.1,-0.1,0,-0.1,0,-0.1,0,0
Adam Johnson,ADAM.JOHNSON,8480341,19-20,PIT,C,L,1994-06-22,25,2012,NA,NA,7,0.4,0.3,0,0,-0.1,-0.1,0.4,0.3,-0.2,0.6,0.1,0.2
Adam Larsson,ADAM.LARSSON,8476457,11-12,N.J,D,R,1992-11-12,18,2011,1,4,65,1.2,2.2,-0.5,0.5,1.1,-0.4,0.7,2.7,0.7,4.1,0.7,1.3
Adam Larsson,ADAM.LARSSON,8476457,12-13,N.J,D,R,1992-11-12,19,2011,1,4,37,-3.8,0.1,0,0.2,0.7,0.4,-3.8,0.3,1.1,-2.4,-0.4,-0.8
Adam Larsson,ADAM.LARSSON,8476457,13-14,N.J,D,R,1992-11-12,20,2011,1,4,26,0.6,1.8,-0.1,0,-0.1,0.1,0.5,1.8,0,2.3,0.4,0.8
Adam Larsson,ADAM.LARSSON,8476457,14-15,N.J,D,R,1992-11-12,21,2011,1,4,64,-0.2,3.9,0,0.3,-0.4,-0.3,-0.1,4.2,-0.7,3.3,0.6,1.2
Adam Larsson,ADAM.LARSSON,8476457,15-16,N.J,D,R,1992-11-12,22,2011,1,4,82,-2.1,8.4,-0.1,0,-0.1,-0.6,-2.2,8.5,-0.7,5.5,1.1,2.1
Adam Larsson,ADAM.LARSSON,8476457,16-17,EDM,D,R,1992-11-12,23,2011,1,4,79,5.8,0.4,-0.1,0,-1,-0.5,5.7,0.4,-1.5,4.7,0.9,1.7
Adam Larsson,ADAM.LARSSON,8476457,17-18,EDM,D,R,1992-11-12,24,2011,1,4,63,1.9,-1,0,0.2,-0.1,-0.1,1.8,-0.8,-0.3,0.8,0.2,0.3
Adam Larsson,ADAM.LARSSON,8476457,18-19,EDM,D,R,1992-11-12,25,2011,1,4,82,-0.1,1.1,0.1,1.2,-0.5,-0.1,0,2.3,-0.5,1.8,0.3,0.6
Adam Larsson,ADAM.LARSSON,8476457,19-20,EDM,D,R,1992-11-12,26,2011,1,4,49,-1,3.7,0,0.7,-0.2,-0.4,-1,4.3,-0.6,2.8,0.5,0.9
Adam Larsson,ADAM.LARSSON,8476457,20-21,EDM,D,R,1992-11-12,27,2011,1,4,56,2.5,8.4,0,-0.1,0.1,-0.4,2.5,8.4,-0.3,10.5,1.9,3.5
Adam Larsson,ADAM.LARSSON,8476457,21-22,SEA,D,R,1992-11-12,28,2011,1,4,55,-0.8,3.1,0,-1.8,-0.6,-0.2,-0.8,1.3,-0.8,-0.2,0,-0.1
