"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.45,49.46,51.39,50.37,49.92,44.02,2.32,2.37,27.77,26.27,38.25,37.68,50.14,50.3,1.82,2.31,-0.05,1.51,0.57,-0.17,-0.49,8.34,90.99
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,7.78,37.45,37.09,38.16,32.14,0.33,3.96,21.09,35.23,29.36,49.81,39.14,63.43,1.21,2.55,-3.62,-14.14,-20.44,-24.29,-1.34,1.58,88.77
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM/VAN","R","R",1985-07-15,30,2004,9,279,52,636.02,38.82,44.57,44.81,44.55,43.5,1.24,1.95,23.98,29.82,33.7,41.5,46.06,57.31,1.91,2.48,-0.71,-5.84,-7.8,-11.26,-0.57,5.17,93.45
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.75,54.58,51.55,51.12,49.93,48.8,2.4,2,29.16,27.4,42.52,40.67,57.96,58.12,2.36,2.47,0.4,1.76,1.86,-0.16,-0.12,8.24,92.7
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL/NYR","R","R",1985-07-15,32,2004,9,279,5,38.55,0,34.15,35.08,39.59,20.24,0,3.22,20.75,40,26.33,48.73,39.46,60.2,1.04,4.11,-3.22,-19.25,-22.4,-20.75,-3.07,0,91.95
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.87,0,31.47,33.69,41.99,29.29,0,3.08,15.67,34.13,23.69,46.63,38.75,53.53,1.67,4.02,-3.08,-18.46,-22.94,-14.78,-2.36,0,90.99
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,306.98,27.55,50.6,52.96,52.18,53.02,0.98,2.56,27.49,26.84,41.08,36.48,54.22,49.69,2.21,1.96,-1.59,0.65,4.6,4.53,0.25,3.55,90.45
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.73,47.76,53.2,54.49,53.29,52.96,2.28,2.5,29.19,25.68,39.89,33.32,52.58,46.08,1.99,1.76,-0.21,3.51,6.57,6.49,0.22,7.83,90.27
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.63,62.04,49.35,49.09,49.57,51.64,3,1.84,27.81,28.53,38.81,40.24,51.52,52.41,2.17,2.03,1.17,-0.73,-1.43,-0.89,0.14,10.8,93.56
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.68,20.95,44.27,43.73,44.04,42.47,0.79,2.99,22.33,28.11,31.43,40.45,42.01,53.38,1.84,2.49,-2.2,-5.78,-9.01,-11.37,-0.65,3.55,89.37
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.45,56.42,50.06,48.76,48.79,49.6,2.66,2.06,29.54,29.47,38.4,40.36,50.55,53.05,2.45,2.49,0.61,0.07,-1.96,-2.5,-0.04,9.01,93.02
