"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","TOI_EV","TOI_PP","TOI_SH","EVO_GAR","EVD_GAR","PPO_GAR","SHD_GAR","Take_GAR","Draw_GAR","Off_GAR","Def_GAR","Pens_GAR","GAR","WAR","SPAR"
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.6,460,118.7,4.4,2,-1.6,0.2,0,-0.2,1.7,2.2,-1.6,1.5,2.1,0.4,0.7
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,40,685.1,591.8,78.5,1.5,1.3,-2.4,-0.3,0,0.5,0.2,1,-2.4,0.8,-0.7,-0.1,-0.2
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,55,51.6,1.2,2,0.8,-0.1,0,0,0.1,0.1,0.8,-0.1,0.2,0.9,0.2,0.3
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.4,110.4,1.5,4.8,0.6,1,0,0,0.3,0,0.6,1,0.2,1.9,0.3,0.6
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL/VGK/WPG","C","L",1996-05-06,25,2016,4,92,15,158.3,148.6,6.4,2.6,-0.1,0.1,0,0,0.2,-0.1,-0.2,0,0,-0.1,0,0
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,938.4,682.6,18.2,223.7,-2.9,0.2,-0.2,-1.7,0,1.3,-3.1,-1.4,1.3,-3.1,-0.6,-1.1
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.6,476.4,3.5,120.9,2.2,2,0,3.1,-0.2,0.3,2.2,5.2,0.1,7.4,1.3,2.6
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.1,112.1,0.1,1.6,1.5,-0.9,0,0,0.2,0.2,1.5,-0.9,0.4,0.9,0.2,0.3
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904,754.3,10.6,122.9,1.1,2.4,-0.2,0.2,-0.9,-0.2,0.9,2.7,-1.1,2.6,0.5,0.9
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.2,693.2,33.4,93,1.7,2.4,2.2,-0.6,-0.6,0.1,3.9,1.8,-0.5,5.2,0.9,1.7
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,422.6,2.7,58.7,-3.7,-1,0,0.1,-0.4,2.3,-3.7,-1,1.9,-2.8,-0.5,-1
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,125.3,2,16.9,-0.9,1,0,-0.4,-0.2,-0.2,-0.9,0.6,-0.4,-0.7,-0.1,-0.2
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,190.9,1.3,30.1,-0.9,-1.8,0,-0.3,-0.9,0.4,-0.9,-2.2,-0.4,-3.5,-0.7,-1.3
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI/VAN","D","R",1992-10-26,21,2011,2,36,21,349.4,299.8,43.7,0.7,2.6,-1.9,0.2,0,-0.1,-0.2,2.8,-1.9,-0.3,0.6,0.1,0.2
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM/PIT","D","R",1992-10-26,22,2011,2,36,29,429.1,399.2,23.2,0.1,3.7,0.5,-0.7,0,-0.8,0.3,3,0.5,-0.6,2.9,0.6,1.1
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,438,44.5,1.3,0.9,1.1,-0.7,0,0.1,-0.2,0.2,1.1,0,1.3,0.3,0.5
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.7,76.3,1.8,0.7,0.9,-2,0,0,0,-0.1,0.8,-2,-0.1,-1.3,-0.2,-0.5
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,42.6,35.5,1.1,6,0.3,-0.5,0,0,0.1,0,0.3,-0.5,0,-0.2,0,-0.1
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.2,206.5,0.8,5.4,2.6,-0.4,0,0,-0.2,-0.2,2.6,-0.4,-0.4,1.7,0.3,0.6
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,15.3,14.1,0,1.2,0.1,0.1,0,0,0,0,0.1,0.1,0,0.2,0,0.1
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.3,170.9,0.2,0.2,1,0.5,0,0,0.1,0,1,0.5,0.1,1.7,0.3,0.6
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.4,150.8,2.2,2.1,1.3,-0.7,0,0,0.4,0.2,1.3,-0.7,0.6,1.1,0.2,0.4
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,157.7,1.3,9.5,-2,-0.6,0,0.1,0.2,-0.2,-2,-0.5,0.1,-2.4,-0.5,-0.9
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM/VAN","R","R",1985-07-15,30,2004,9,279,52,636,589.1,6.1,32.9,-2,1.8,0,-0.1,-0.5,0.7,-2,1.7,0.2,-0.1,0,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.8,677.6,6.8,35.6,3.3,1.1,-0.1,0.4,0.3,1.4,3.2,1.5,1.8,6.4,1.2,2.3
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL/NYR","R","R",1985-07-15,32,2004,9,279,5,38.5,33.8,0,4.7,-0.2,-0.3,0,0,0.1,-0.1,-0.2,-0.4,0,-0.5,-0.1,-0.2
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.9,20.5,0,0.3,-0.1,-0.2,0,0,0,0,-0.1,-0.2,0,-0.3,-0.1,-0.1
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,307,278.8,25.3,0,-2.8,0.9,-0.5,0,0.1,0.2,-3.3,0.9,0.3,-2,-0.4,-0.7
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.7,229.8,0.5,0.4,-0.3,1.4,0,0,0.1,-0.2,-0.3,1.4,0,1.1,0.2,0.4
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.6,631.4,32.2,18.7,1.9,1.3,0.1,-0.4,0,-0.1,2.1,0.9,-0.1,2.9,0.5,1
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.7,599.7,48.9,3.6,-3.4,0.3,-1.9,0,0,-1,-5.3,0.3,-1,-6,-1.1,-2
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.5,546.7,68,1.9,1.8,-2,0.6,0,0.1,-1.1,2.4,-2,-1,-0.6,-0.1,-0.2
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,52,719.2,635,64.5,5.6,-3.9,0.6,-0.7,0,0.5,-0.5,-4.7,0.6,-0.1,-4.2,-0.7,-1.4
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ/COL","D","R",1971-07-10,36,1989,2,22,75,1754.2,1361.9,36.8,327.7,-3.7,3.5,-0.7,1.7,-0.6,0.8,-4.3,5.1,0.2,1,0.2,0.3
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,825.6,661.7,6,150.9,-1.9,0.3,0,-2.3,-0.2,-0.7,-2,-2,-0.9,-4.9,-0.9,-1.7
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1297.1,1093.4,14.9,177.9,2.6,-1.7,0,-3,0.4,-0.3,2.7,-4.7,0.1,-1.9,-0.4,-0.7
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,842.5,695.6,6.7,132.9,-0.6,-0.8,-0.1,-1.3,0.8,-0.2,-0.7,-2,0.6,-2.2,-0.4,-0.7
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1323.3,1150,136.9,10,10.5,2.7,0.8,0.1,0,0.8,11.3,2.9,0.7,14.9,2.7,5.1
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,1358.8,980.6,197.8,139.8,2.4,4.7,2.5,-0.8,1.6,-0.5,4.9,3.8,1,9.8,1.8,3.3
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,50,1219.9,927.9,153.3,108.9,4.5,2.6,2.4,-0.5,1.4,0.7,6.9,2.1,2,11,2,3.7
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,63.9,59.9,3.7,0.3,0,-0.1,0,0,0.1,-0.1,0,-0.1,0,-0.1,0,0
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,613.1,534.1,76.6,0.1,-0.3,-2.6,0.5,0,-0.2,0.8,0.1,-2.6,0.7,-1.9,-0.3,-0.7
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,730.6,631,89.6,0.7,2.1,-0.5,3.4,0,-0.4,-0.1,5.5,-0.5,-0.4,4.6,0.8,1.6
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI/VAN","C","R",1996-10-03,23,2015,5,149,40,444.9,399.5,40.6,0.3,-1.9,-2.5,0.7,0,-0.1,0.4,-1.2,-2.5,0.3,-3.4,-0.6,-1.1
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI/OTT","C","R",1996-10-03,24,2015,5,149,31,356.2,310.1,41.8,0.4,1.5,-1.3,-0.1,0,-0.1,0,1.4,-1.3,-0.2,-0.1,0,0
"Adam Hall","ADAM.HALL","8467925","07-08","PIT","R","R",1980-08-14,27,1999,2,52,46,546.1,381.1,9.7,149.3,-3.1,-1.3,0.3,-0.9,0.3,-0.3,-2.9,-2.2,-0.1,-5.1,-0.9,-1.8
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,828.6,625.9,8,187.9,-2.3,0.9,0.5,2.3,0.9,0.9,-1.8,3.2,1.8,3.2,0.6,1.1
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,1217.7,953.9,13.9,227.7,-3.4,3.2,0.1,-0.5,1.2,1.4,-3.4,2.7,2.7,2,0.4,0.7
"Adam Hall","ADAM.HALL","8467925","11-12","T.B","R","R",1980-08-14,31,1999,2,52,57,676.4,502.4,2.4,161.5,-0.5,1.2,0,-1.2,0.3,0.1,-0.5,0,0.4,-0.1,0,0
"Adam Hall","ADAM.HALL","8467925","12-13","CAR/PHI/T.B","R","R",1980-08-14,32,1999,2,52,37,389.7,309.3,3.6,73.5,-1.6,0.7,0,0.5,0.3,-0.1,-1.6,1.2,0.2,-0.2,0,-0.1
"Adam Hall","ADAM.HALL","8467925","13-14","PHI","R","R",1980-08-14,33,1999,2,52,80,787.1,539.6,4,236,-1,1.1,0,-1.1,0.2,-0.6,-1,0.1,-0.4,-1.4,-0.3,-0.5
"Adam Henrique","ADAM.HENRIQUE","8474641","10-11","N.J","C","L",1990-02-06,20,2008,3,82,1,13.3,12.6,0.8,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.2,0,0.1
"Adam Henrique","ADAM.HENRIQUE","8474641","11-12","N.J","C","L",1990-02-06,21,2008,3,82,74,1343.8,1080.3,119.5,130.9,8.8,3.2,0.2,0.7,3.3,-0.7,9,3.9,2.6,15.5,2.7,5
"Adam Henrique","ADAM.HENRIQUE","8474641","12-13","N.J","C","L",1990-02-06,22,2008,3,82,42,769.4,565.9,110.3,72.9,0.8,0.7,-1.5,-0.3,1.1,-0.4,-0.7,0.5,0.7,0.5,0.1,0.2
"Adam Henrique","ADAM.HENRIQUE","8474641","13-14","N.J","C","L",1990-02-06,23,2008,3,82,77,1390.2,1030.8,162.4,166.4,4.5,0.2,2.4,1.7,2.2,0.2,6.9,2,2.3,11.2,2.1,4
"Adam Henrique","ADAM.HENRIQUE","8474641","14-15","N.J","C","L",1990-02-06,24,2008,3,82,75,1330.8,1030.5,128.9,138.7,3.9,-3.8,5.4,-0.2,1.2,-0.9,9.3,-4.1,0.4,5.6,1.1,2
