Player,EH_ID,API ID,Season,Team,Position,Shoots,Birthday,Age,Draft Yr,Draft Rd,Draft Ov,GP,xEVO_GAR/60,xEVD_GAR/60,xPPO_GAR/60,xSHD_GAR/60,xTake_GAR/60,xDraw_GAR/60,xOff_GAR/60,xDef_GAR/60,xPens_GAR/60,xGAR/60,xWAR/60,xSPAR/60
Aaron Ness,AARON.NESS,8474604,15-16,WSH,D,L,1990-05-18,25,2008,2,40,8,-0.012,0.06,0.391,0.483,0.019,0.054,-0.011,0.065,0.072,0.127,0.024,0.047
Aaron Ness,AARON.NESS,8474604,16-17,WSH,D,L,1990-05-18,26,2008,2,40,2,-0.19,-0.074,0,0,0.128,-0.061,-0.19,-0.074,0.068,-0.197,-0.037,-0.072
Aaron Ness,AARON.NESS,8474604,17-18,WSH,D,L,1990-05-18,27,2008,2,40,8,0.087,-0.298,0,0.324,-0.29,0.053,0.087,-0.259,-0.238,-0.414,-0.081,-0.154
Aaron Ness,AARON.NESS,8474604,19-20,ARI,D,L,1990-05-18,29,2008,2,40,24,-0.013,0.16,0.391,1.063,0.126,0.123,-0.012,0.174,0.249,0.409,0.073,0.14
Aaron Ness,AARON.NESS,8474604,20-21,ARI,D,L,1990-05-18,30,2008,2,40,1,0.709,-0.021,0,0,0.126,-0.058,0.709,-0.021,0.067,0.755,0.135,0.252
Aaron Palushaj,AARON.PALUSHAJ,8474030,10-11,MTL,R,R,1989-09-07,21,2007,2,44,3,0.148,-0.255,-0.04,0,-0.216,0.254,0.136,-0.255,0.039,-0.064,-0.011,-0.022
Aaron Palushaj,AARON.PALUSHAJ,8474030,11-12,MTL,R,R,1989-09-07,22,2007,2,44,38,0.076,0.145,0.044,-0.026,0.009,0.3,0.076,0.144,0.309,0.526,0.092,0.17
Aaron Palushaj,AARON.PALUSHAJ,8474030,12-13,COL,R,R,1989-09-07,23,2007,2,44,25,0.514,-0.141,-0.734,-0.026,-0.007,0.215,0.431,-0.141,0.208,0.506,0.094,0.174
Aaron Palushaj,AARON.PALUSHAJ,8474030,13-14,CAR,R,R,1989-09-07,24,2007,2,44,2,0.156,0.066,0,0,0.149,-0.138,0.156,0.066,0.011,0.219,0.042,0.078
Aaron Rome,AARON.ROME,8470310,07-08,CBJ,D,L,1983-09-27,23,2002,4,104,17,0.186,0.182,-0.57,0.019,0.112,-0.048,0.132,0.167,0.064,0.339,0.061,0.118
Aaron Rome,AARON.ROME,8470310,08-09,CBJ,D,L,1983-09-27,24,2002,4,104,8,0.234,0.63,0.197,0.644,0.176,-0.078,0.232,0.63,0.097,0.916,0.166,0.319
Aaron Rome,AARON.ROME,8470310,09-10,VAN,D,L,1983-09-27,25,2002,4,104,49,-0.223,-0.105,-0.633,0.316,0.05,-0.028,-0.235,-0.079,0.022,-0.275,-0.05,-0.096
Aaron Rome,AARON.ROME,8470310,10-11,VAN,D,L,1983-09-27,26,2002,4,104,56,-0.193,-0.008,0.303,0.301,-0.039,-0.042,-0.18,0.024,-0.081,-0.219,-0.039,-0.075
Aaron Rome,AARON.ROME,8470310,11-12,VAN,D,L,1983-09-27,27,2002,4,104,43,0.274,0.083,1.437,-0.352,-0.054,0.001,0.317,0.062,-0.053,0.307,0.054,0.099
Aaron Rome,AARON.ROME,8470310,12-13,DAL,D,L,1983-09-27,28,2002,4,104,27,-0.109,-0.049,-0.007,-2.176,-0.013,0.021,-0.108,-0.268,0.008,-0.352,-0.065,-0.121
Aaron Rome,AARON.ROME,8470310,13-14,DAL,D,L,1983-09-27,29,2002,4,104,25,-0.122,0.031,0.268,-1.055,0.076,-0.034,-0.12,-0.051,0.042,-0.12,-0.023,-0.042
Aaron Volpatti,AARON.VOLPATTI,8475619,10-11,VAN,L,L,1985-05-30,25,2003,NA,NA,15,0.036,0.3,0.269,-0.026,-0.055,-0.154,0.047,0.3,-0.21,0.123,0.022,0.042
Aaron Volpatti,AARON.VOLPATTI,8475619,11-12,VAN,L,L,1985-05-30,26,2003,NA,NA,23,-0.173,0.298,-0.03,-0.026,-0.163,0.012,-0.172,0.298,-0.151,-0.029,-0.005,-0.009
Aaron Volpatti,AARON.VOLPATTI,8475619,12-13,VAN/WSH,L,L,1985-05-30,27,2003,NA,NA,33,-0.256,0.353,-0.096,-0.026,-0.041,-0.022,-0.254,0.353,-0.063,0.032,0.006,0.011
Aaron Volpatti,AARON.VOLPATTI,8475619,13-14,WSH,L,L,1985-05-30,28,2003,NA,NA,41,-0.424,-0.306,0,0,-0.061,-0.057,-0.424,-0.306,-0.118,-0.842,-0.159,-0.298
Aaron Volpatti,AARON.VOLPATTI,8475619,14-15,WSH,L,L,1985-05-30,29,2003,NA,NA,2,0.131,0.219,0,0,0.138,0.468,0.131,0.219,0.607,0.957,0.182,0.348
Aaron Voros,AARON.VOROS,8469672,07-08,MIN,L,L,1981-07-02,26,2001,8,229,55,0.336,-0.321,-0.672,-0.026,-0.213,0.022,0.185,-0.321,-0.191,-0.278,-0.05,-0.097
Aaron Voros,AARON.VOROS,8469672,08-09,NYR,L,L,1981-07-02,27,2001,8,229,54,0.31,-0.297,0.926,-0.026,-0.216,0.109,0.397,-0.296,-0.107,0.033,0.006,0.012
Aaron Voros,AARON.VOROS,8469672,09-10,NYR,L,L,1981-07-02,28,2001,8,229,41,-0.065,-0.143,1.037,-0.026,-0.231,-0.029,-0.056,-0.143,-0.26,-0.457,-0.083,-0.159
Aaron Voros,AARON.VOROS,8469672,10-11,ANA,L,L,1981-07-02,29,2001,8,229,12,0.235,0.02,0,0,-0.52,0.48,0.235,0.02,-0.041,0.213,0.038,0.073
Aaron Ward,AARON.WARD,8458519,07-08,BOS,D,R,1973-01-17,34,1991,1,5,64,0.349,0.053,-0.349,-0.611,-0.006,-0.017,0.285,-0.032,-0.023,0.197,0.036,0.069
Aaron Ward,AARON.WARD,8458519,08-09,BOS,D,R,1973-01-17,35,1991,1,5,64,-0.06,0.087,-0.486,-0.409,-0.015,-0.033,-0.068,0.026,-0.048,-0.082,-0.015,-0.028
Aaron Ward,AARON.WARD,8458519,09-10,ANA/CAR,D,R,1973-01-17,36,1991,1,5,76,-0.106,-0.156,-0.713,-0.263,-0.072,-0.005,-0.115,-0.17,-0.077,-0.344,-0.062,-0.12
Adam Almquist,ADAM.ALMQUIST,8475332,13-14,DET,D,L,1991-02-27,22,2009,7,209,2,0.32,-0.097,0.354,0.01,0.137,-0.066,0.322,-0.095,0.072,0.293,0.055,0.104
Adam Beckman,ADAM.BECKMAN,8481550,21-22,MIN,L,L,2001-05-10,20,2019,3,75,3,0.139,-0.142,0.123,-0.026,-0.573,-0.122,0.138,-0.142,-0.695,-0.689,-0.123,-0.234
Adam Berti,ADAM.BERTI,8471281,07-08,CHI,L,L,1986-07-01,21,2004,3,68,2,0.069,0.224,0,0,0.183,-0.193,0.069,0.224,-0.01,0.277,0.05,0.096
Adam Boqvist,ADAM.BOQVIST,8480871,19-20,CHI,D,R,2000-08-15,19,2018,1,8,41,0.624,-0.295,-0.283,0.01,0.078,0.07,0.503,-0.295,0.148,0.39,0.069,0.133
Adam Boqvist,ADAM.BOQVIST,8480871,20-21,CHI,D,R,2000-08-15,20,2018,1,8,35,0.117,-0.056,-0.04,1.546,-0.021,0.17,0.085,-0.041,0.149,0.199,0.036,0.067
Adam Boqvist,ADAM.BOQVIST,8480871,21-22,CBJ,D,R,2000-08-15,21,2018,1,8,40,0.889,-0.369,1.058,0.884,0.046,0.02,0.908,-0.366,0.067,0.639,0.114,0.216
Adam Brooks,ADAM.BROOKS,8478996,19-20,TOR,C,L,1996-05-06,23,2016,4,92,7,0.321,0.173,-0.038,0.678,0.134,0.066,0.313,0.192,0.2,0.687,0.122,0.235
Adam Brooks,ADAM.BROOKS,8478996,20-21,TOR,C,L,1996-05-06,24,2016,4,92,11,-0.452,0.515,2.16,0.83,0.13,-0.022,-0.418,0.528,0.108,0.228,0.041,0.076
Adam Brooks,ADAM.BROOKS,8478996,21-22,MTL/VGK/WPG,C,L,1996-05-06,25,2016,4,92,15,0.234,-0.029,-0.152,0.341,0.061,-0.049,0.218,-0.022,0.012,0.204,0.036,0.069
Adam Burish,ADAM.BURISH,8470063,07-08,CHI,R,R,1983-01-06,24,2002,9,282,80,-0.277,0.036,-0.069,-0.571,0.003,0.083,-0.271,-0.114,0.086,-0.227,-0.041,-0.079
Adam Burish,ADAM.BURISH,8470063,08-09,CHI,R,R,1983-01-06,25,2002,9,282,66,0.167,0.178,0.007,1.247,-0.022,0.028,0.166,0.395,0.007,0.526,0.095,0.183
Adam Burish,ADAM.BURISH,8470063,09-10,CHI,R,R,1983-01-06,26,2002,9,282,13,0.169,-0.456,0.462,0.588,0.081,0.106,0.169,-0.441,0.187,-0.087,-0.016,-0.03
Adam Burish,ADAM.BURISH,8470063,10-11,DAL,R,R,1983-01-06,27,2002,9,282,63,-0.004,0.158,-0.184,-0.237,-0.058,-0.012,-0.006,0.103,-0.07,0.025,0.004,0.008
Adam Burish,ADAM.BURISH,8470063,11-12,DAL,R,R,1983-01-06,28,2002,9,282,65,-0.194,0.141,0.565,-0.889,-0.042,0.009,-0.159,0.019,-0.033,-0.154,-0.027,-0.05
Adam Burish,ADAM.BURISH,8470063,12-13,S.J,R,R,1983-01-06,29,2002,9,282,46,-0.572,-0.267,0.008,-0.273,-0.045,0.283,-0.568,-0.268,0.238,-0.524,-0.097,-0.18
Adam Burish,ADAM.BURISH,8470063,13-14,S.J,R,R,1983-01-06,30,2002,9,282,15,0.176,0.359,-0.052,-1.041,-0.084,-0.065,0.173,0.193,-0.149,0.194,0.037,0.069
Adam Burish,ADAM.BURISH,8470063,14-15,S.J,R,R,1983-01-06,31,2002,9,282,20,-0.282,-0.677,-0.036,-0.825,-0.238,0.118,-0.28,-0.697,-0.121,-1.054,-0.201,-0.383
Adam Clendening,ADAM.CLENDENING,8476431,14-15,CHI/VAN,D,R,1992-10-26,21,2011,2,36,21,0.103,-0.199,0.918,0.01,-0.015,-0.032,0.207,-0.198,-0.047,-0.014,-0.003,-0.005
Adam Clendening,ADAM.CLENDENING,8476431,15-16,EDM/PIT,D,R,1992-10-26,22,2011,2,36,29,-0.002,-0.032,-0.501,0.01,-0.116,0.036,-0.029,-0.032,-0.08,-0.139,-0.027,-0.051
Adam Clendening,ADAM.CLENDENING,8476431,16-17,NYR,D,R,1992-10-26,23,2011,2,36,31,0.16,0.226,0.651,0.359,0.018,-0.02,0.206,0.227,-0.002,0.404,0.076,0.147
Adam Clendening,ADAM.CLENDENING,8476431,17-18,ARI,D,R,1992-10-26,24,2011,2,36,5,0.095,-1.16,-0.026,0.01,-0.014,-0.06,0.092,-1.15,-0.074,-1.095,-0.213,-0.408
Adam Clendening,ADAM.CLENDENING,8476431,18-19,CBJ,D,R,1992-10-26,25,2011,2,36,4,-0.135,-0.832,0.074,0.13,0.126,-0.056,-0.128,-0.693,0.07,-0.714,-0.133,-0.251
Adam Cracknell,ADAM.CRACKNELL,8471490,10-11,STL,R,R,1985-07-15,25,2004,9,279,24,0.316,-0.006,0.462,0.122,-0.047,-0.065,0.317,-0.002,-0.111,0.193,0.034,0.066
Adam Cracknell,ADAM.CRACKNELL,8471490,11-12,STL,R,R,1985-07-15,26,2004,9,279,2,0.723,0.077,0,0.311,0.155,-0.137,0.723,0.096,0.018,0.78,0.136,0.252
Adam Cracknell,ADAM.CRACKNELL,8471490,12-13,STL,R,R,1985-07-15,27,2004,9,279,20,0.703,0.17,0,0,0.033,-0.006,0.703,0.17,0.026,0.893,0.166,0.307
Adam Cracknell,ADAM.CRACKNELL,8471490,13-14,STL,R,R,1985-07-15,28,2004,9,279,19,-0.222,-0.101,-0.09,0.098,0.149,0.071,-0.22,-0.098,0.22,-0.094,-0.018,-0.033
Adam Cracknell,ADAM.CRACKNELL,8471490,14-15,CBJ,R,R,1985-07-15,29,2004,9,279,17,-0.493,-0.475,-0.047,0.972,0.081,-0.059,-0.49,-0.393,0.022,-0.826,-0.157,-0.3
Adam Cracknell,ADAM.CRACKNELL,8471490,15-16,EDM/VAN,R,R,1985-07-15,30,2004,9,279,52,0.156,0.056,-0.244,-0.269,-0.051,0.069,0.152,0.039,0.018,0.198,0.038,0.074
Adam Cracknell,ADAM.CRACKNELL,8471490,16-17,DAL,R,R,1985-07-15,31,2004,9,279,69,0.467,0.085,-0.999,0.907,0.029,0.117,0.453,0.126,0.146,0.7,0.132,0.255
Adam Cracknell,ADAM.CRACKNELL,8471490,17-18,DAL/NYR,R,R,1985-07-15,32,2004,9,279,5,-0.112,-0.267,0,0.48,0.137,-0.129,-0.112,-0.175,0.008,-0.265,-0.052,-0.099
Adam Cracknell,ADAM.CRACKNELL,8471490,18-19,ANA,R,R,1985-07-15,33,2004,9,279,2,-0.02,-0.315,0,0,0.131,-0.124,-0.02,-0.315,0.007,-0.322,-0.06,-0.113
Adam Erne,ADAM.ERNE,8477454,16-17,T.B,L,L,1995-04-20,21,2013,2,33,26,0.055,0.244,0.031,0,0.022,0.046,0.053,0.244,0.067,0.342,0.064,0.125
Adam Erne,ADAM.ERNE,8477454,17-18,T.B,L,L,1995-04-20,22,2013,2,33,23,0.085,0.573,0,0,0.038,-0.043,0.085,0.573,-0.005,0.645,0.126,0.24
Adam Erne,ADAM.ERNE,8477454,18-19,T.B,L,L,1995-04-20,23,2013,2,33,65,-0.001,0.1,-0.004,-0.491,0,-0.007,-0.001,0.083,-0.008,0.07,0.013,0.025
Adam Erne,ADAM.ERNE,8477454,19-20,DET,L,L,1995-04-20,24,2013,2,33,56,-0.239,0.174,-1.172,0.582,0,-0.091,-0.31,0.176,-0.092,-0.235,-0.042,-0.08
Adam Erne,ADAM.ERNE,8477454,20-21,DET,L,L,1995-04-20,25,2013,2,33,45,0.458,-0.149,0.994,0.299,0.011,-0.102,0.517,-0.148,-0.092,0.287,0.051,0.096
Adam Erne,ADAM.ERNE,8477454,21-22,DET,L,L,1995-04-20,26,2013,2,33,52,-0.212,-0.081,-0.538,0.34,0.039,-0.045,-0.242,-0.077,-0.007,-0.311,-0.056,-0.105
Adam Foote,ADAM.FOOTE,8456283,07-08,CBJ/COL,D,R,1971-07-10,36,1989,2,22,75,-0.158,0.119,-0.533,0.316,-0.021,0.027,-0.168,0.157,0.005,0.023,0.004,0.008
Adam Foote,ADAM.FOOTE,8456283,08-09,COL,D,R,1971-07-10,37,1989,2,22,42,0.03,0.026,-0.32,-1.084,-0.018,-0.05,0.027,-0.18,-0.068,-0.224,-0.041,-0.078
Adam Foote,ADAM.FOOTE,8456283,09-10,COL,D,R,1971-07-10,38,1989,2,22,67,-0.095,-0.228,0.213,-1.088,0.018,-0.012,-0.091,-0.349,0.005,-0.414,-0.075,-0.144
Adam Foote,ADAM.FOOTE,8456283,10-11,COL,D,R,1971-07-10,39,1989,2,22,47,-0.126,-0.094,-0.248,-0.682,0.057,-0.018,-0.127,-0.188,0.039,-0.251,-0.045,-0.086
Adam Fox,ADAM.FOX,8479323,19-20,NYR,D,R,1998-02-17,21,2016,3,66,70,0.471,0.296,0.166,1.734,-0.001,0.035,0.438,0.309,0.033,0.73,0.13,0.249
Adam Fox,ADAM.FOX,8479323,20-21,NYR,D,R,1998-02-17,22,2016,3,66,55,0.182,0.221,1.155,-0.411,0.069,-0.024,0.345,0.142,0.045,0.462,0.083,0.154
Adam Fox,ADAM.FOX,8479323,21-22,NYR,D,R,1998-02-17,23,2016,3,66,50,0.454,0.212,0.486,-0.144,0.067,0.033,0.458,0.174,0.1,0.654,0.117,0.221
Adam Gaudette,ADAM.GAUDETTE,8478874,17-18,VAN,C,R,1996-10-03,20,2015,5,149,5,-0.412,-0.223,0.018,-0.026,0.137,-0.129,-0.387,-0.222,0.008,-0.586,-0.114,-0.218
Adam Gaudette,ADAM.GAUDETTE,8478874,18-19,VAN,C,R,1996-10-03,21,2015,5,149,56,-0.079,-0.291,-1.132,-0.026,-0.015,0.08,-0.211,-0.291,0.064,-0.4,-0.075,-0.14
Adam Gaudette,ADAM.GAUDETTE,8478874,19-20,VAN,C,R,1996-10-03,22,2015,5,149,59,0.039,-0.164,1.522,-0.026,-0.03,-0.006,0.223,-0.164,-0.036,0.043,0.008,0.015
Adam Gaudette,ADAM.GAUDETTE,8478874,20-21,CHI/VAN,C,R,1996-10-03,23,2015,5,149,40,-0.248,-0.273,-0.506,-0.026,-0.017,0.053,-0.272,-0.273,0.035,-0.479,-0.086,-0.16
Adam Gaudette,ADAM.GAUDETTE,8478874,21-22,CHI/OTT,C,R,1996-10-03,24,2015,5,149,31,0.197,-0.159,0.189,-0.026,-0.022,-0.007,0.196,-0.159,-0.03,0.026,0.005,0.009
Adam Hall,ADAM.HALL,8467925,07-08,PIT,R,R,1980-08-14,27,1999,2,52,46,-0.46,-0.218,-0.133,-0.412,0.028,-0.036,-0.452,-0.273,-0.008,-0.596,-0.108,-0.208
Adam Hall,ADAM.HALL,8467925,08-09,T.B,R,R,1980-08-14,28,1999,2,52,74,0.04,0.186,1.521,0.479,0.068,0.065,0.059,0.253,0.133,0.427,0.077,0.149
Adam Hall,ADAM.HALL,8467925,10-11,T.B,R,R,1980-08-14,30,1999,2,52,82,-0.258,0.252,0.237,-0.243,0.06,0.071,-0.251,0.156,0.131,0.083,0.015,0.028
Adam Hall,ADAM.HALL,8467925,11-12,T.B,R,R,1980-08-14,31,1999,2,52,57,-0.272,0.172,0.014,-0.647,0.029,0.006,-0.271,-0.027,0.035,-0.194,-0.034,-0.063
Adam Hall,ADAM.HALL,8467925,12-13,CAR/PHI/T.B,R,R,1980-08-14,32,1999,2,52,37,-0.397,0.262,0.068,0.028,0.047,-0.021,-0.391,0.217,0.026,-0.075,-0.014,-0.026
Adam Hall,ADAM.HALL,8467925,13-14,PHI,R,R,1980-08-14,33,1999,2,52,80,-0.358,0.093,-0.059,-0.077,0.012,-0.044,-0.355,0.041,-0.032,-0.237,-0.045,-0.084
Adam Henrique,ADAM.HENRIQUE,8474641,10-11,N.J,C,L,1990-02-06,20,2008,3,82,1,0.121,0.21,0,0,0.16,-0.154,0.121,0.21,0.006,0.318,0.057,0.109
Adam Henrique,ADAM.HENRIQUE,8474641,11-12,N.J,C,L,1990-02-06,21,2008,3,82,74,0.336,0.166,-0.64,0.532,0.145,-0.031,0.239,0.205,0.114,0.512,0.089,0.166
Adam Henrique,ADAM.HENRIQUE,8474641,12-13,N.J,C,L,1990-02-06,22,2008,3,82,42,0.032,0.075,-0.056,0.227,0.088,-0.034,0.018,0.092,0.053,0.145,0.027,0.05
Adam Henrique,ADAM.HENRIQUE,8474641,13-14,N.J,C,L,1990-02-06,23,2008,3,82,77,0.518,0.037,1.054,0.722,0.093,0.008,0.591,0.132,0.101,0.722,0.137,0.256
Adam Henrique,ADAM.HENRIQUE,8474641,14-15,N.J,C,L,1990-02-06,24,2008,3,82,75,0.338,-0.177,1.001,-0.065,0.055,-0.039,0.412,-0.163,0.016,0.232,0.044,0.084
Adam Henrique,ADAM.HENRIQUE,8474641,15-16,N.J,C,L,1990-02-06,25,2008,3,82,80,0.567,0.143,1.298,-0.133,0.083,-0.031,0.681,0.099,0.052,0.701,0.135,0.26
Adam Henrique,ADAM.HENRIQUE,8474641,16-17,N.J,C,L,1990-02-06,26,2008,3,82,82,0.242,-0.173,0.904,0.256,0.037,-0.003,0.345,-0.11,0.034,0.235,0.044,0.086
Adam Henrique,ADAM.HENRIQUE,8474641,17-18,ANA/N.J,C,L,1990-02-06,27,2008,3,82,81,0.305,-0.021,0.517,-1.284,0.078,-0.055,0.339,-0.155,0.023,0.193,0.038,0.072
Adam Henrique,ADAM.HENRIQUE,8474641,18-19,ANA,C,L,1990-02-06,28,2008,3,82,82,0.022,0.117,1.458,0.016,0.066,-0.048,0.24,0.109,0.018,0.326,0.061,0.114
Adam Henrique,ADAM.HENRIQUE,8474641,19-20,ANA,C,L,1990-02-06,29,2008,3,82,71,0.429,0.004,0.051,0.539,0.037,-0.038,0.374,0.025,-0.002,0.365,0.065,0.125
Adam Henrique,ADAM.HENRIQUE,8474641,20-21,ANA,C,L,1990-02-06,30,2008,3,82,45,0.865,-0.23,0.078,-0.597,0.112,-0.078,0.771,-0.254,0.035,0.521,0.094,0.174
Adam Henrique,ADAM.HENRIQUE,8474641,21-22,ANA,C,L,1990-02-06,31,2008,3,82,33,0.098,0.007,1.988,0.762,0.073,-0.041,0.347,0.015,0.033,0.376,0.067,0.127
Adam Johnson,ADAM.JOHNSON,8480341,18-19,PIT,C,L,1994-06-22,24,2012,NA,NA,6,0.093,-0.23,0,0,0.131,-0.124,0.093,-0.23,0.007,-0.13,-0.024,-0.046
Adam Johnson,ADAM.JOHNSON,8480341,19-20,PIT,C,L,1994-06-22,25,2012,NA,NA,7,0.484,0.442,0,0,-0.07,-0.124,0.484,0.442,-0.195,0.726,0.129,0.248
Adam Larsson,ADAM.LARSSON,8476457,11-12,N.J,D,R,1992-11-12,18,2011,1,4,65,0.058,0.111,-0.288,1.119,0.05,-0.018,0.03,0.134,0.032,0.184,0.032,0.06
Adam Larsson,ADAM.LARSSON,8476457,12-13,N.J,D,R,1992-11-12,19,2011,1,4,37,-0.368,0.012,-0.379,0.288,0.059,0.037,-0.368,0.03,0.096,-0.216,-0.04,-0.074
Adam Larsson,ADAM.LARSSON,8476457,13-14,N.J,D,R,1992-11-12,20,2011,1,4,26,0.088,0.251,-0.617,0.098,-0.018,0.013,0.068,0.243,-0.005,0.295,0.056,0.105
